documentId,Paragraph,Compound
US20090042875A1,"A stirred mixture of 4-bromo-2-ethoxy-1-methoxy-benzene (6.52 g, 23.7 mmol) and anhydrous THF (20 mL) was cooled to −78° C., evacuated and refilled with nitrogen for 10 cycles. To this clear solution was slowly added n-butyllithium (9.5 mL, 23.7 mmol) and stirred for 20 nm. Then a mixture of 1H-indole-6-carboxylic acid methoxy-methyl-amide (2.20 g, 10.8 mmol) in anhydrous THF (25 mL) was added and stirred for 1 hour at −78° C. The mixture was quenched with isopropanol (4.9 mL, 65 mmol) and water (15 mL). The mixture was extracted with EtOAc (3×50 mL). The combined organic phases were washed with water (2×50 mL), dried over MgSO4 and concentrated to give an oil, which was purified by flash column chromatography (EtOAc, Hexane) to give (3-ethoxy-4-methoxy-phenyl)-(1H-indol-6-yl)-methanone as an oil (2.30 g). The product was used in the next step without further purification.",4-bromo-2-ethoxy-1-methoxy-benzene | THF | nitrogen | n-butyllithium | 1H-indole-6-carboxylic acid methoxy-methyl-amide | THF | isopropanol | water | EtOAc | water | MgSO4 | EtOAc | Hexane | (3-ethoxy-4-methoxy-phenyl)-(1H-indol-6-yl)-methanone
US06211199B1,"Combine 1-benzyl-3-(phenylmethyl)-3-(2-methanesulfonyloxyethyl)-2-oxopyrrolidine (0.99 g, 2.57 mmol), (1-(4-fluorobenzyl)-1H-benzimidazol-2-yl)(piperidin-4-yl)amine (0.80 g, 2.57 mmol), and N,N-diisopropylethylamine (0.73 g, 5.65 mmol) in acetonitrile (37 mL). Heat to reflux. After 12 hours, cool and partition the reaction mixture between dichloromethane and water. Separate the layers and extract the organic layer with brine. Dry the organic layer over Na2SO4, filter, and concentrate in vacuo to obtain a residue. Chromatograph the residue on a short column of silica gel eluting with 2% triethylamine/10% methanol/ethyl acetate to give a residue. Partition the residue between dichloromethane and brine. Dry the organic layer over Na2SO4, filter, and concentrate in vacuo to give the title compound: Rf=0.22 (silica gel, 2% triethylamine/10% methanol/ethyl acetate).","1-benzyl-3-(phenylmethyl)-3-(2-methanesulfonyloxyethyl)-2-oxopyrrolidine | (1-(4-fluorobenzyl)-1H-benzimidazol-2-yl)(piperidin-4-yl)amine | N,N-diisopropylethylamine | acetonitrile | dichloromethane | water | brine | Na2SO4 | silica gel | triethylamine | dichloromethane | brine | Na2SO4 | title compound"
US08476294B2,"The title compound was synthesized in a similar manner as described for Example 1.1 using 8-bromo-1-(1,3-dimethyl-1H-pyrazol-4-yl)-3-methyl-1,3-dihydro-imidazo[4,5-c]quinolin-2-one (Intermediate A, 50 mg, 0.132 mmol) and 2-(2-benzyloxy-ethoxy)-5-(4,4,5,5-tetramethyl-[1,3,2]dioxaborolan-2-yl)-pyridine (Stage 19.1.1, 65 mg, 0.184 mmol) to give the title compound as a white solid. (HPLC: tR 3.12 min (Method A); M+H=521 MS-ES; 1H-NMR (d6-DMSO, 400 MHz) 8.95 (s, 1H), 8.33-8.24 (m, 1H), 8.16-8.05 (m, 2H), 7.93-7.86 (m, 1H), 7.81-7.75 (m, 1H), 7.51-7.45 (m, 1H), 7.40-7.22 (m, 5H), 7.01-6.93 (m, 1H), 4.55 (s, 2H), 4.47 (t, 2H), 3.92 (s, 3H), 3.78 (t, 2H), 3.57 (s, 3H), 1.97 (s, 3H))","title compound | 8-bromo-1-(1,3-dimethyl-1H-pyrazol-4-yl)-3-methyl-1,3-dihydro-imidazo[4,5-c]quinolin-2-one | Intermediate A | 2-(2-benzyloxy-ethoxy)-5-(4,4,5,5-tetramethyl-[1,3,2]dioxaborolan-2-yl)-pyridine | title compound"
US20160214927A1,"Indian Publication No. 148/MUM/2011 discloses a process for the preparation of nepafenac in which 2-aminobenzophenone (II) is treated with 2-(methylthio)acetamide (III) in the presence of N-chlorophthalimide to afford 2-(2-amino-3-benzoylphenyl)-2-(methylthio)acetamide (IV), which is subsequently reduced in the presence of Raney nickel under hydrogen pressure to afford nepafenac.",nepafenac | 2-aminobenzophenone | 2-(methylthio)acetamide | N-chlorophthalimide | 2-(2-amino-3-benzoylphenyl)-2-(methylthio)acetamide
US08247401B2,"To a solution of methyl 3-(5-methylpyridin-2-yl)-5-{1-[(trimethylsilyl)methyl]-1H-1,2,3-triazol-5-yl}benzoate (122 mg, 0.321 mmol) in THF (5 mL) was added 2 M tetrabutylammonium fluoride in THF (1.60 mL, 3.20 mmol). After 16 h, the mixture was distributed between 100 ml of dichloromethane and 100 ml of 1 M ammonium chloride solution. The organic layer was washed with 50 mL of brine and concentrated to give title compound (85 mg). MS 309.1 (M+1).","methyl 3-(5-methylpyridin-2-yl)-5-{1-[(trimethylsilyl)methyl]-1H-1,2,3-triazol-5-yl}benzoate | THF | tetrabutylammonium fluoride | THF | dichloromethane | ammonium chloride | brine | title compound"
US08404856B2,"Compound 4-1 (400 mg; 0.694 mmol) was dissolved in 6 mL THF/MeOH (1:1) and the system purged with nitrogen (3×). 10% Pd/C (739 mg; 0.694 mmol) was then added to the reaction mixture which was then purged (3×) with nitrogen and then with hydrogen (3×). The purged reaction mixture then remained under atmospheric pressure of hydrogen for 4 hours at room temperature. The reaction mixture was then filtered through celite and concentrated. The crude product was then purified by flash chromatography (40-100% EtOAc in hexane) to give the title compound. MS M+1: 577.6. 1H NMR (CDCl3): 2.12 (t, 2H), 3.32 (t, 2H), 3.76 (s, 3H), 3.90 (s, 3H), 5.53 (s, 2H), 6.30 (s, 1H), 6.65 (d, 1H), 6.68 (d, 2H), 7.08 (m, 1H), 7.12 (m, 1H), 7.20 (d, 2H), 7.42 (m, 1H), 7.94 (t, 1H).",Compound 4-1 | THF/MeOH | nitrogen | Pd/C | nitrogen | hydrogen | crude product | EtOAc | hexane | title compound
US20120184542A1,"To a solution of tert-butyl 2-cyclohexyl-2-hydroxyethylcarbamate (6.11 g, 25.1 mmol), triphenylphosphine (7.57 g, 28.9 mmol) (Aldrich) and phthalimide (3.69 g, 25.1 mmol) (Aldrich) in THF (100 mL) was added diisopropylazo-dicarboxylate (5.69 mL, 28.9 mmol) (Aldrich) dropwise at room temperature with magnetic stirring. After 18 hours, mixture was concentrated and the residue was purified by flash chromatography eluting with 2-5% ethyl acetate in dichloromethane to give tert-butyl 2-cyclohexyl-2-(1,3-dioxoisoindolin-2-yl)ethylcarbamate. (Yield 7.37 g, 78.8%).","tert-butyl 2-cyclohexyl-2-hydroxyethylcarbamate | triphenylphosphine | phthalimide | THF | diisopropylazo-dicarboxylate | ethyl acetate | dichloromethane | tert-butyl 2-cyclohexyl-2-(1,3-dioxoisoindolin-2-yl)ethylcarbamate"
US09102676B2,"E1 (5.0 g 20.39 mmol) was dissolved in THF (45 mL) and cooled to −78° C. LHMDS (1 M in hexane/ethylbenzene) (40.8 mL, 40.8 mmol) was added in 30 minutes and the solution was stirred for 35 min at −78° C. (2-(Chloromethoxy)ethyl)trimethylsilane (10.02 mL, 56.5 mmol) was added and the reaction mixture was allowed to warm to room temperature overnight. The reaction mixture was quenched with saturated NH4Cl and extracted twice with EtOAc. The organic layer was washed with brine, dried over MgSO4, filtered and concentrated in vacuo. The residue was purified by flash column chromatography (heptane:EtOAc=100:0 to 70:30) yielding the title compound (6.09 g, 80%). 1H NMR (400 MHz, CDCl3, 300K): δ 0.00 (3H, s), 0.92 (2H, t, J=7.5 Hz), 1.47 (9H, s), 3.02 (2H, d, J=13.3 Hz), 3.55 (4H, m), 3.78 (3H, s), 3.83 (3H, m), 4.34 (1H, d, J=13.3 Hz). MS (ES) C17H33NO6Si requires: 375. found: 398.2 [M+Na]+.",E1 | THF | LHMDS | (2-(Chloromethoxy)ethyl)trimethylsilane | NH4Cl | EtOAc | brine | MgSO4 | heptane | EtOAc | title compound
US04304770,"2-(3-Chloro-4-hydroxyphenyl)glyoxylic acid (2.0 g.) and O-(1-t-butoxycarbonylethyl)hydroxylamine (3.2 g.) were reacted according to a similar manner to that of Preparation (5-7) to give 2-(1-t-butoxycarbonylethoxyimino)-2-(3-chloro-4-hydroxyphenyl)acetic acid (syn isomer) (3.3 g.), mp 148° to 151° C.",2-(3-Chloro-4-hydroxyphenyl)glyoxylic acid | O-(1-t-butoxycarbonylethyl)hydroxylamine | (5-7) | 2-(1-t-butoxycarbonylethoxyimino)-2-(3-chloro-4-hydroxyphenyl)acetic acid
US05194440,"A solution of the product from Step 1 (916 mg) in anhydrous dichloromethane (15 ml) and trifluoroacetic acid (4.5 ml) was stirred at room temperature under a nitrogen atmosphere for 1 hour. Solvents were removed under vacuum and the residue was azeotroped with toluene-methanol. Flash chromatography of the crude product (silica gel, dichloromethane-methanol-ammonia, 90:10:1) gave 372 mg (59%) of the title compound as a colourless thick oil which solidified on standing; δH (250 MHz, CDCl3) 8.16 (1H, br s, indole N--H), 7.45 (1H, s, Ar--H), 7.28 (1H, d, J=8.3 Hz, Ar--H), 7.05 (1H, dd, J=8.3 and 1.5 Hz, Ar--H), 7.02 (1H, d, J=1.8 Hz, Ar--H), 3.35 (2H, dd, J=9.8 and 7.1 Hz, --CH2N--), 3.26 (4H, s, --NCH2CH2N-- ), 3.08--2.99 (4H, m, --CH2 --), 2.88 (2H, t, J=6.2 Hz, Ar--CH2CH2NH2), 2.75 (3H, s, --NMe); m/z (CI) 323 (M+ +1). (Found: m/z 323.1543. C15H23N4O2S requires: m/z 323.1542).",product | dichloromethane | trifluoroacetic acid | nitrogen | toluene-methanol | crude product | title compound
US20160264579A1,"4-(4-chloro-7-cyclopentyl-7H-pyrrolo[2,3-d]pyrimidin-5-yl)aniline (200 mg) produced in accordance with Example 7→Example 2 using 4-chloro-5-iodo-7H-pyrrolo[2,3-d]pyrimidine and cyclopentanol, as well as the compound (140 mg) produced in Example 50 were used and subjected to the same procedure as in Example 49→Example 3 to obtain the title compound (290 mg) having the following physical property values.","4-(4-chloro-7-cyclopentyl-7H-pyrrolo[2,3-d]pyrimidin-5-yl)aniline | 4-chloro-5-iodo-7H-pyrrolo[2,3-d]pyrimidine | cyclopentanol | compound | title compound"
US08541418B2,"Three mL of TFA was added to a solution of (R)-tert-butyl 4-(8-cyclopentyl-7-ethyl-5-methyl-6-oxo-5,6,7,8-tetrahydropteridin-2-yl)pyridin-3-ylcarbamate (Example 92, 760 mg) in 3 mL of DCM. The mixture was stirred for 4 h at rt, and the solvent was removed under reduced pressure. Aqueous Na2CO3 was added and extracted with EtOAc. The organic layer was dried with Na2SO4, concentrated and the residue was purified by silica column to give the title compound. LCMS (0.05% TFA): 353.0 m/z (M+H)+; 1H-NMR (CDCl3, 500 MHz): δ: 8.17 (s, 1H), 8.08 (d, 1H, J=5 Hz), 7.99 (d, 1H, J=5 Hz), 7.94 (s, 1H), 6.23 (s, 2H), 4.48 (m, 1H), 4.32 (m, 1H), 3.39 (s, 3H), 2.0-1.69 (m, 10H), 0.88 (t, 3H, J=7.5 Hz).","TFA | (R)-tert-butyl 4-(8-cyclopentyl-7-ethyl-5-methyl-6-oxo-5,6,7,8-tetrahydropteridin-2-yl)pyridin-3-ylcarbamate | DCM | Na2CO3 | EtOAc | Na2SO4 | silica | title compound"
US20080076766A1,"A solution of 0.025 ml diisopropylazodicarboxylate in 1 ml of tetrahydrofuran is added dropwise to a solution of 0.045 g 4-{4-[1-(3-fluor-phenyl)-pyrrolidin-3-yloxy]-phenyl}-3-hydroxy-5-[4-(3-methoxy-propyl)-3,4-dihydro-2H-benzo[1,4]-oxazin-6-ylmethoxy]-piperidine-1-carboxylic acid benzyl ester (example 1a), 0.015 g benzoic acid and 0.032 g triphenylphosphine in 1 ml of tetrahydrofuran The reaction solution is stirred for 3 hours at room temperature and is then concentrated under reduced pressure. The residue is purified through a short pad of SiO2. The crude material is then dissolved in 2.5 ml of methanol/tetrahydrofuran 4:1. Potassium carbonate (0.034 g) is added to the solution and the mixture is stirred for 16 hours at room temperature. The reaction mixture is quenched with water and extracted with tert-butyl methyl ether (2×). The combined organics are washed with brine, dried (sodium sulphate) and concentrated under reduced pressure. The title compound is obtained as a colorless glass and can be used without further purification. Rf=0.51 (EtOAc-heptane 2:1); Rt=5.59.","diisopropylazodicarboxylate | tetrahydrofuran | 4-{4-[1-(3-fluor-phenyl)-pyrrolidin-3-yloxy]-phenyl}-3-hydroxy-5-[4-(3-methoxy-propyl)-3,4-dihydro-2H-benzo[1,4]-oxazin-6-ylmethoxy]-piperidine-1-carboxylic acid benzyl ester | benzoic acid | triphenylphosphine | tetrahydrofuran | SiO2 | crude material | methanol/tetrahydrofuran | Potassium carbonate | water | tert-butyl methyl ether | brine | sodium sulphate | title compound"
US20160008357A1,"To a solution of compound 26 (20 mg, 0.056 mmol) in THF (3 mL), LAH (5.0 mg, 0.14 mmol) was added at −30° C. and stirred for 1 h. The reaction mixture was quenched with saturated ammonium chloride solution at −30° C. The reaction mixture was slowly warmed to rt and filtered through celite bed, washed with ethyl acetate. The organic layer was washed with brine, dried over anhy. Na2SO4 and concentrated under reduced pressure to obtain the crude product gave (2-(3,5-diphenylpyridazin-4-yl) oxazol-4-yl) methanol (16 mg, 88%) as an yellow solid.","compound 26 | THF | LAH | ammonium chloride | ethyl acetate | brine | Na2SO4 | crude product | (2-(3,5-diphenylpyridazin-4-yl) oxazol-4-yl) methanol"
US08486979B2,"The title compound was prepared according to the procedure of Example 8 using N′-hydroxynicotinimidamide (Aldrich) and 3-fluoro-4-hydroxybenzoic acid (Aldrich). 1H NMR (300 MHz, CD3OD) δ 7.09 (t, J=8.7 Hz, 1 H), 7.63 (ddd, J=7.9, 5.2, 0.8 Hz, 1 H), 7.86-7.93 (m, 2 H), 8.53 (dt, J=7.9, 2.0 Hz, 1 H), 8.72 (dd, J=4.8, 1.6 Hz, 1 H), 9.27 (dd, J=2.4, 0.8 Hz, 1 H) ppm; MS (DCI/NH3) m/z 258 (M+H)+.",title compound | N′-hydroxynicotinimidamide | 3-fluoro-4-hydroxybenzoic acid | NH3
US20110212968A1,"Under inert gas a solution of 3-bromo-pyridine-2-carboxylic acid (4.95 mmol) in MeOH (8.0 mL) is treated dropwise with conc. sulfuric acid (0.50 mL) and heated subsequently to reflux for 150 min. The mixture is cooled to 0° C. and neutralized by addition of DIPEA. After removal of the volatiles EtOAc (30 mL) and water (10 mL) are added and the layers are separated. The organic layer is washed twice with sat. NaHCO3 solution (2×10 mL) and once with water (10 mL), dried over MgSO4 and concentrated in vacuo to give the crude product which is used without further purification. LC-MS (B): tR=0.69 min; [M+H]+=216.0. 1H-NMR (CDCl3): δ=4.04 (s, 3H), 7.32 (m, 1H), 8.03 (d, J=8.0 Hz, 1H), 8.63 (m, 1H).",3-bromo-pyridine-2-carboxylic acid | MeOH | sulfuric acid | DIPEA | EtOAc | water | NaHCO3 | water | MgSO4 | crude product
US20040259915A1,"To a clean dry 200 ml flask purged with nitrogen was added diisopropylamine (2.7 ml, 19.5 mmol, 3 eq), dry THF (50 mL) and 3-(2,4-Bis-methoxymethoxy-phenyl)-7-methoxymethoxy-4-methyl-chromen-2-one (8.1 mL, 16.25 mmol, 2.5 eq.) at −78° C. After 30 minutes, to this solution was added drop-wise, a solution of 3-(2,4-bis-methoxymethoxy-phenyl)-7-methoxymethoxy-4-methyl-chromen-2-one (2.7 g, 6.5 mmol, 1 eq.) in dry THF (13 mL). The solution was warmed to −10C and stirred at this temperature for 30 minutes. Phenyl formate (3.6 ml, 33 mmol, 5 eq) was then added slowly into the reaction mixture. The reaction mixture was then stirred for 30 mins, quenched with saturated aqueous NH4Cl, extracted with ethyl acetate and then concentrated to yield th title product as a crude solid which was purified by flash chromatography eluting with 30% ethyl acetate in hexane to yield the title product as a solid.","nitrogen | diisopropylamine | THF | 3-(2,4-Bis-methoxymethoxy-phenyl)-7-methoxymethoxy-4-methyl-chromen-2-one | 3-(2,4-bis-methoxymethoxy-phenyl)-7-methoxymethoxy-4-methyl-chromen-2-one | THF | Phenyl formate | NH4Cl | ethyl acetate | title product"
US07211577B2,"Following the procedure of Example 1(10), 2-benzyl-6-(4-fluoro-3-methylphenyl)-4-methanesulfonyloxymethyl-2H-pyridazin-3-one and tert-butyl 1-piperazinecarboxylate were reacted to yield the title compound as a yellow oil (yield: 91.8%).",2-benzyl-6-(4-fluoro-3-methylphenyl)-4-methanesulfonyloxymethyl-2H-pyridazin-3-one | tert-butyl 1-piperazinecarboxylate | title compound
