documentId,Paragraph,Compound
US09340510B2,"To 600 mg (1.88 mmol) 6-cyclopropylmethoxy-4-hydroxy-3,4-dihydro-1H-isoquinoline-2-carboxylic acid tert-butyl ester (example XLIII.1) in 6 mL DCM are added 825 mg (1.88 mmol) Dess-Martin periodinane and the resulting mixture is stirred at r.t. over night. The reaction mixture is diluted with water and extracted with DCM. The organic layer is concentrated by evaporation and the residue is purified by HPLC (ACN/H2O/HCOOH).","6-cyclopropylmethoxy-4-hydroxy-3,4-dihydro-1H-isoquinoline-2-carboxylic acid tert-butyl ester | DCM | Dess-Martin periodinane | water | DCM | ACN/H2O/HCOOH"
US07977481B2,"A 5 mL Personal Chemistry™ microwave vial was charged with 1-{3-[4-(4-Bromo-thiophen-2-yl)-pyrimidin-2-ylamino]-phenyl}-ethanol (149.3 mg, 0.40 mmol, prepared according to Method 22), isobutylamine (120 uL, 1.20 mmol), molybdenum hexacarbonyl (109.2 mg, 0.41 mmol), THF (2 mL), 20 mg (0.02 mmol) of Hermann's Palladacycle [trans-di-mu-acetatobis[2-9di-O-tolylphpsphino)benzyl]dipalladium(II)], and DBU (180 uL, 1.20 mmol). The reaction mixture was heated to 150° C. in a microwave reactor for 15 min. The crude reaction mixture was diluted with DMSO (2 mL), filtered through a plug of silica gel, then purified by mass-triggered reverse-phase HPLC, (C-18; eluting with a 5-95% gradient consisting of 0.1% formic acid in water: 0.1% formic acid in ACN). Lyophilization of the purified fraction provided 39.5 mg (25% yield) of 5-{2-[3-(1-Hydroxy-ethyl)-phenylamino]-pyrimidin-4-yl}-thiophene-3-carboxylic acid isobutyl-amide as a white powder. 1H NMR (d6-DMSO) δ 9.49 (br. s, 1H), 8.34 (d, J=5.0 Hz, 1H), 8.20 (t, J=6.0 Hz, 1H), 8.16 (dd, J=6.0, 0.5 Hz, 1H), 7.67 (br.s, 1H), 7.49 (dd, J=5.0, 1.2 Hz, 1H), 7.15 (d, J=5.0 Hz, 1H), 7.09 (t, J=7.5 Hz, 1H), 6.80 (d, J=7.5 Hz, 1H), 4.97 (br.d, J=3.5 Hz, 1H), 4.55 (qrt, J=5.5 Hz, 1H), 2.91 (t, J=6.5 Hz, 2H), 1.67 (m, 1H), 1.19 (d, J=6.0 Hz, 3H), 0.74 (d, J=7.0 Hz, 6H); HPLC/MS m/z: 397 [MH]+.",1-{3-[4-(4-Bromo-thiophen-2-yl)-pyrimidin-2-ylamino]-phenyl}-ethanol | isobutylamine | molybdenum hexacarbonyl | THF | Palladacycle [trans-di-mu-acetatobis[2-9di-O-tolylphpsphino)benzyl]dipalladium(II) | DBU | DMSO | silica gel | 5-{2-[3-(1-Hydroxy-ethyl)-phenylamino]-pyrimidin-4-yl}-thiophene-3-carboxylic acid isobutyl-amide
US20160214943A1,"To a stirred solution of compound e (2.8 g, 9.76 mmol) in DCM (30 mL) at 0° C., CBr4 (4.84 g, 14.63 mmol) and PPh3 (3.81 g, 14.63 mmol) were added and the resulting reaction mixture was stirred at rt for 12 h. The progress of the reaction was monitored by TLC. Upon completion the reaction mixture was diluted with water and extracted with DCM. The combined organic layers were dried over anhydrous Na2SO4 and concentrated under reduced pressure resulting in a crude compound which was purified by column chromatography to afford the compound f (2.5 g, 75.7%).",compound e | DCM | CBr4 | PPh3 | water | DCM | Na2SO4 | crude compound | compound f
US04694098,"Next, 195 g of AlCl3 and 100 g of 3-methoxypropylbenzene were poured into 1.5 liters of CH2Cl2, and the resulting mixture was cooled with ice under stirring. Thereto was gradually added dropwise 79 g of acetyl chloride (CH3COCl), and the thus obtained mixture was stirred under ice-cooling continuously for 6 hours. After the termination of the evolution of hydrogen chloride (HCl) gas was ascertained, the reaction solution was poured into 1 liter of dilute hydrochloric acid, and the CH2Cl2 layer was separated, after which the CH2Cl2 was distilled off, and the residue was distilled under reduced pressure to obtain p-(3-methoxypropyl)acetophenone. The boiling point of this compound was 94°-95° C./0.3 mmHg.",AlCl3 | 3-methoxypropylbenzene | CH2Cl2 | ice | acetyl chloride | ice | hydrogen chloride | hydrochloric acid | CH2Cl2 | CH2Cl2 | p-(3-methoxypropyl)acetophenone
US05998433,"N,N-Dimethyl-[6-(2-benzoylbenzoyl)-4,5,6,7-tetrahydrofuro[2,3-c]pyridin-2-ylmethyl)amine 0.291 g was dissolved in 2 ml of methanol; hydrogen chloride in ethyl acetate was added in excess, followed by stirring. After this mixture was concentrated, diethyl ether was added; the resulting solid was filtered and washed with diethyl ether to yield the desired product.","N,N-Dimethyl-[6-(2-benzoylbenzoyl)-4,5,6,7-tetrahydrofuro[2,3-c]pyridin-2-ylmethyl)amine | methanol | hydrogen chloride | ethyl acetate | diethyl ether | diethyl ether | desired product"
US09216991B2,"A solution of 2-[3-(1-methyl-1H-pyrazol-4-yl)phenyl]-5-(1H-pyrazol-4-yl)pyrimidine (example 3, 120 mg; 0.40 mmol; 1.0 eq.) in dry DMA (1 mL) was added over a suspension of NaH (60% in oil, 28 mg; 1.19 mmol; 3.0 eq.) in dry DMA (2 mL) maintained at 0° C. under nitrogen atmosphere. The resulting mixture was stirred for one hour at 0° C. then heated at 100° C. O/N after the addition of a solution of 14-(2-Bromo-ethyl)-pyridine hydrobromide (159 mg; 0.60 mmol; 1.5 eq.) in DMA (2 mL). Cesium carbonate (388 mg; 1.19 mmol; 3.00 eq.) and 4-(2-Bromo-ethyl)-pyridine hydrobromide (159 mg; 0.60 mmol; 1.5 eq.) were added and the reaction mixture was heated again at 100° C. O/N. Reaction mixture was then cooled down to RT and quenched with water and extracted with DCM (three times). Combined organic phases were washed with water, brine, dried over magnesium sulfate, filtered and concentrated. The resulting oil was purified by autopreparative LC/MS to give the title compound a white foam (80 mg, 49%). 1H NMR (300 MHz, DMSO-d6) δ 9.12 (s, 2H), 8.56-8.50 (m, 1H), 8.50-8.41 (m, 2H), 8.38 (s, 1H), 8.26 (s, 1H), 8.24-8.17 (m, 1H), 8.15 (s, 1H), 7.92 (s, 1H), 7.77-7.66 (m, 1H), 7.51 (t, J=7.7 Hz, 1H), 7.29-7.19 (m, 2H), 4.48 (t, J=7.1 Hz, 2H), 3.89 (s, 3H), 3.21 (t, J=7.0 Hz, 2H). HPLC (Condition A): Rt 2.47 min (purity 99.6%). MS (ESI+): 408.4.",2-[3-(1-methyl-1H-pyrazol-4-yl)phenyl]-5-(1H-pyrazol-4-yl)pyrimidine | DMA | NaH | DMA | nitrogen | 14-(2-Bromo-ethyl)-pyridine hydrobromide | DMA | Cesium carbonate | 4-(2-Bromo-ethyl)-pyridine hydrobromide | water | DCM | water | brine | magnesium sulfate | title compound | foam
US08835426B2,"To a solution of (S)-1-cyclohexyl-2-((1-adamantylmethyl)amino)ethanol (22 mg, 0.077 mmol) and Et3N (15.6 mg, 0.154 mmol) in dry CH2Cl2(2 mL) at 0° C. was added triphosgene (9.2 mg, 0.031 mmol) in dry CH2Cl2(2 mL). The mixture was stirred for 30 min and then concentrated in vacuum to give the crude product, which was purified by preparative TLC to afford (S)-3-((1-adamantyl)methyl)-5-cyclohexyloxazolidin-2-one (5 mg, 21%). 1H NMR (MeOD, 400 MHZ): δ=1.18-1.97 (m, 25H), 2.75-2.95 (m, 2H), 3.42 (t, 1H), 3.72 (t, 1H), 4.83 (m, 1H); MS: m/z=318.",(S)-1-cyclohexyl-2-((1-adamantylmethyl)amino)ethanol | Et3N | CH2Cl2 | triphosgene | CH2Cl2 | crude product | (S)-3-((1-adamantyl)methyl)-5-cyclohexyloxazolidin-2-one
US20110130286A1,"244 mg of Cs2CO3 were added to a solution of 230.5 mg of 3-benzyl-6-[1-(2-iodo-pyridin-3-yl)meth-(Z)-ylidene]-1,3,4-trimethylpiperazine-2,5-dione (preparation see Ex. 3b) in 1 ml of morpholine and 1 ml of DMF, and the mixture was stirred in a microwave oven at a power of 15 W at 140° C. for 40 min (pressure about 2 bar), then stirred into a 5% strength citric acid solution and extracted with CH2Cl2. After removal of the solvent, the residue crystallized at 20-25° C. overnight. The crystals were washed with cold ethyl acetate and dried. This gave 154 mg of the title compound.","Cs2CO3 | 3-benzyl-6-[1-(2-iodo-pyridin-3-yl)meth-(Z)-ylidene]-1,3,4-trimethylpiperazine-2,5-dione | morpholine | DMF | citric acid | CH2Cl2 | ethyl acetate"
US20040229858A1,"A mixture of methyl 4-(1-tert-butoxycarbonylamino-2-methyl-2-propoxy)benzoate (460 mg, 1.42 mmol) and anisole (0.155 mL, 1.42 mmol) in CH2Cl2(15 mL) and TFA (3 mL) was stirred for 3 hr at room temp. The mixture was evaporated off. The residue was dissolved in CH2Cl2 (30 mL) and made basic by the addition of 0.5N NaOH. The CH2Cl2 layer was separated, dried over Na2SO4, and evaporated. The residue was chromatographed on silica-gel with CH2Cl2 as eluent to give 370 mg (100%) methyl 4-(1-amino-2-methyl-2-propoxy)benzoate as a gum. 1H-NMR (CDCl3) δ 1.34 (s, 6H), 2.87 (s, 2H), 3.90 (s, 3H), 7.10 (d, J=8.8 Hz, 2H), 7.97 (d, J=8.8 Hz, 2H).",methyl 4-(1-tert-butoxycarbonylamino-2-methyl-2-propoxy)benzoate | anisole | CH2Cl2 | TFA | CH2Cl2 | NaOH | CH2Cl2 | Na2SO4 | silica | CH2Cl2 | methyl 4-(1-amino-2-methyl-2-propoxy)benzoate
US07569572B2,"(3R)-3-Hydroxy-pyrrolidine-1-carboxylic acid tert-butyl ester (12.59, 66.70 mmol) was dissolved in tetrahydrofuran (334 mL) and the reaction mixture cooled to 0° C. in an ice bath. The reaction mixture was treated with 80% sodium hydride in mineral oil (2.20 g, 73.3 mmol) and stirred until back at room temperature. The reaction mixture was then treated with methyl iodide (14.5 g, 100.0 mmol) and stirred at room temperature for 18 hours. The reaction mixture was diluted with water (100 mL) and concentrated in vacuo until just the aqueous remained. The aqueous solution was extracted with ethyl acetate (750 mL), the organic layer separated, dried over magnesium sulphate and concentrated in vacuo to yield the title product as a brown oil, 12.48 g.",(3R)-3-Hydroxy-pyrrolidine-1-carboxylic acid tert-butyl ester | tetrahydrofuran | ice | sodium hydride | oil | methyl iodide | water | ethyl acetate | magnesium sulphate | title product
US20150182537A1,"To a suspension of 4-(2,6-difluoro-4-pyridyl)-2-methylsulfanyl-pyrimidine (2.66 g, 11.1 mmol) in EtOH (70 mL) was added hydrazine (1.11 mL, 33.4 mmol) and heated at 70° C. for 5.5 h. After cooling, the solution was concentrated in vacuo and triturated with water. The solid was collected by filtration, washed with water, dried under high vacuum to afford 2.69 g (96%) of 4-(2-fluoro-6-hydrazinylpyridin-4-yl)-2-(methylthio)pyrimidine (15-1b) as off white solid. MS: m/z 251.","4-(2,6-difluoro-4-pyridyl)-2-methylsulfanyl-pyrimidine | EtOH | hydrazine | water | water | 4-(2-fluoro-6-hydrazinylpyridin-4-yl)-2-(methylthio)pyrimidine"
US06872833B2,"From meta-toluic acid, HATU and N-ethyldiisopropylamine in THF, then treatment with (+)-7-[1,4]dioxan-2-yl-4-methoxy-benzothiazol-2-ylamine. [α]D20=+17.7° (c=0.79, CHCl3), ES-MS m/e (%): 385 (M+H+, 100).","meta-toluic acid | HATU | N-ethyldiisopropylamine | THF | (+)-7-[1,4]dioxan-2-yl-4-methoxy-benzothiazol-2-ylamine | CHCl3"
US20120214807A1,"To a solution of 4-(4-{(3R)-3-[({[3-(trifluoromethyl)benzoyl]amino}acetyl)amino]pyrrolidin-1-yl}piperidin-1-yl)benzoic acid (29 mg, 0.056 mmol), HATU (0.032 g, 0.084 mmol), N,N-diisopropylethylamine (39 μL, 0.22 mmol), 1-hydroxybenzotriazole (11.3 mg, 0.084 mmol) in DMF (3.0 mL) was added dimethylamine (0.035 μL as a 2.00M THF solution). The reaction mixture was allowed to stir at room temperature overnight. To the mixture was added NaHCO3 (sat. aq., 10 mL) and dichloromethane (10 mL). The organic layer was separated and the aqueous layer was washed with an addition portion of dichloromethane (10 mL). The organic layers were combined, dried over Na2SO4, filtered and concentrated. The resulting crude product was subjected to flash chromatography (15% MeOH, 1% NH4OH in EtOAc) to afford N,N-dimethyl-4-(4-{(3R)-3-[({[3-(trifluoromethyl)benzoyl]amino}acetyl)amino]pyrrolidin-1-yl}piperidin-1-yl)benzamide (22 mg, 72%) as a white solid. 1H-NMR (CD3OD) δ: 1.50-1.65 (m, 2H), 1.62-1.80 (m, 1H), 1.90-2.08 (m, 2H), 2.20-2.40 (m, 2H), 2.55-2.70 (m, 3H), 2.70-3.00 (m, 5H), 3.06 (s, 6H), 3.20-3.40 (m, 2H), 3.78-3.90 (m, 2H), 4.36-4.46 (m, 1H), 6.98 (d, J=8.7 Hz, 2H), 7.34 (d, J=8.4 Hz, 2H), 7.69 (t, J=7.8 Hz, 1H), 7.86 (d, J=7.8 Hz, 1H), 8.14 (d, J=7.5 Hz, 1H), 8.22 (s, 1H). MS m/z: 546 (M+1).","4-(4-{(3R)-3-[({[3-(trifluoromethyl)benzoyl]amino}acetyl)amino]pyrrolidin-1-yl}piperidin-1-yl)benzoic acid | HATU | N,N-diisopropylethylamine | 1-hydroxybenzotriazole | DMF | dimethylamine | THF | NaHCO3 | dichloromethane | dichloromethane | Na2SO4 | N,N-dimethyl-4-(4-{(3R)-3-[({[3-(trifluoromethyl)benzoyl]amino}acetyl)amino]pyrrolidin-1-yl}piperidin-1-yl)benzamide"
US20090215780A1,"To a solution of methyl trans-2-[(4′-amino-1,1′-biphenyl-4-yl)carbonyl]cyclopropane-carboxylate (94 mg, 0.32 mmol, prepared as described in US 2004/0224997) in dichloromethane (3 mL) was added 3,4-difluorophenylacetic acid (65.7 mg, 0.38 mmol), dimethylaminopyridine (1.9 mg, 0.02 mmol), EDCI (73.2 mg, 0.38 mmol), and the resulting solution was stirred at rt for 3 days. Water was added and the mixture was extracted with DCM. The combined organic layers were washed with aqueous NaOH (1 N), HCl (1 N), water, and brine, dried over Na2SO4, filtered and concentrated under reduced pressure. The residue was mixed in aqueous HCl (1 N) and filtered. The precipitate was washed with water, ether and dried in a vacuum oven to give methyl trans-2-[(4′-{[(3,4-difluorophenyl)acetyl]amino}-1,1′-biphenyl-4-yl)carbonyl]cyclopropane-carboxylate (63.6 mg, 44%). LC-MS RT=3.64 min, m/z 450 (MHz; 1H NMR (400 MHz, DMSO-d6) δ 1.62 (m, 2H), 2.36 (m, 1H), 3.32 (m, 1H), 3.74 (s, 5H), 7.12 (m, 1H), 7.18-7.30 (m, 2H), 7.62 (m, 4H), 7.72 (m, 2H), 8.08 (m, 2H). A sample of this intermediate (63 mg, 0.14 mmol) was mixed with MeOH and the suspension was heated at 50° C. to effect dissolution. Then aqueous NaOH (1 N, 1.5 mL, 1.5 mmol) was added to the solution and the mixture was stirred at 50° C. overnight. The reaction mixture was concentrated under reduced pressure and the residue was suspended in water. HCl (conc.) was gradually added with stirring until the mixture was acidic and the precipitate that formed was collected by filtration, washed with ether and dried under high vacuum to give trans-2-[(4′-{[(3,4-difluorophenyl)acetyl]amino}-1,1′-biphenyl-4-yl)carbonyl]cyclopropanecarboxylic acid (15.8 mg, 25%). LC-MS RT=3.01 min, m/z 436.1 (MH+); 1H NMR (400 MHz, DMSO-d6) δ 1.47 (m, 2H), 2.09 (m, 1H), 3.24 (m, 1H), 3.69 (s, 2H), 7.16 (m, 1H), 7.38 (m, 2H), 7.72 (m, 4H), 7.82 (m, 2H), 8.09 (m, 2H), 10.34 (s, 1H).","methyl trans-2-[(4′-amino-1,1′-biphenyl-4-yl)carbonyl]cyclopropane-carboxylate | dichloromethane | 3,4-difluorophenylacetic acid | dimethylaminopyridine | EDCI | Water | DCM | NaOH | HCl | water | brine | Na2SO4 | HCl | water | ether | methyl trans-2-[(4′-{[(3,4-difluorophenyl)acetyl]amino}-1,1′-biphenyl-4-yl)carbonyl]cyclopropane-carboxylate"
US04267267,"Next, to the polymer dispersion of silver behenate maintained at 50° C. while stirring at 500 rpm, was added an acetone solution containing N-bromosuccinimide (0.7 g of N-bromosuccinimide and 50 cc of acetone) at 25° C. over a period of 90 minutes and the reaction system was further stirred for 60 minutes resulting in the preparation of a polymer dispersion of both silver bromide and silver behenate. The average grain size (measured microscopically using transmitted light) of the silver bromide grains was about 0.06μ.",silver behenate | acetone | N-bromosuccinimide | silver bromide | silver behenate
US20100113776A1,"To a solution of 1-{4-[(1-cyclobutylpiperidin-4-yl)oxy]phenyl}-1H-pyrazole-4-carboxamide obtained in Example 19 (0.154 g) in N,N-dimethylformamide, thionyl chloride (0.134 g) was added under ice cooling, followed stirring on ice for 30 minutes and then at room temperature for an additional 4 hours. To the reaction mixture, thionyl chloride (0.825 g) was added under ice cooling and stirred at room temperature for 2 hours. The reaction mixture was cooled on ice, diluted with water and saturated aqueous sodium bicarbonate, adjusted to pH 8 and then extracted with ethyl acetate. The organic layer was washed with saturated aqueous sodium chloride, dried over sodium sulfate and concentrated under reduced pressure. The resulting residue was purified by silica gel column chromatography (eluting solvent: n-hexane:ethyl acetate=1:1) to give the titled compound (0.106 g) as a colorless solid.","1-{4-[(1-cyclobutylpiperidin-4-yl)oxy]phenyl}-1H-pyrazole-4-carboxamide | N,N-dimethylformamide | thionyl chloride | ice | ice | thionyl chloride | ice | ice | water | sodium bicarbonate | ethyl acetate | sodium chloride | sodium sulfate | silica gel | n-hexane | ethyl acetate | titled compound"
US06906193B2,"6-Bromo-2-(3-fluorophenyl)-quinolin-4-ol (5.2 g, 16.3 mmoles) was placed in a 500 mL three-neck round-bottom flask equipped with a condenser, magnetic stirrer and nitrogen inlet. To this was added 15.2 mL (25.0 g, 163 mmoles, 10 equiv.) of phosphorus oxychloride with stirring. The mixture was heated to 110° C. for 4 hr. At the end of this time the reaction was cooled to room temperature and water was cautiously added dropwise until all of the POCl3 was consumed. Material crystallised from the water and solids were collected by filtration. The solids were washed with water, placed in a 250 mL Erlenmeyer and triturated with water. After collection by filtration, washing with water, and drying in a vacuum oven, 4.6 g (84%) of the product was obtained.",6-Bromo-2-(3-fluorophenyl)-quinolin-4-ol | nitrogen | phosphorus oxychloride | water | POCl3 | water | water | water | water | product
