paragraph,task_name,output
"Paragraph_2_compound_name:MOF-74: Zn2(C8H2O6). 2,5-Dihydroxyterephthalic acid (1.00 g, 5.05 × 10-3 mol) and Zn(NO3)2·4H2O (4.50 g, 1.72 × 10-2 mol)were dissolved in 100 ml of dimethylformamide in a 400-ml jarwith sonication. Five milliliters of water were added, followed byadditional sonication. The jar was capped tightly and placed ina 110°C oven for 20 h. The mother liquor was decanted, and theyellow crystalline product was washed three times with dimeth ylformamide and then three times with methanol. The productwas immersed in methanol, which was decanted and replacedwith fresh methanol three times over 4 days. The product wasevacuated to dryness and heated under vacuum to 150°C 1 h,held at 150°C for 10 h, heated to 265°C over 1 h, and held for 12 h.The sample was backfilled and stored under nitrogen. The BETsurface area of the sample was measured to be 632 m2/g.",Paragraph_2_compound_name,MOF-74: Zn2(C8H2O6)
"Paragraph_2_compound_name:MOF-177: Zn4O(C27H15O6)2. Benzene-1,3,5-tris(4-benzoic acid) (2.0g, 4.6 × 10-3 mol) and Zn(NO3)2·4H2O (7.2 g, 2.8 × 10-2 mol)were dissolved in 200 ml of diethylformamide in a 500-ml jar. The jar was capped tightly and placed in a 100°C oven for 24 h. Themother liquor was decanted, and the colorless crystalline prod uct was washed with dimethylformamide and immersed inHPLC-grade (pentene-stabilized) chloroform, which was de canted and replaced with fresh chloroform three times over 4days. Solvent was decanted from the product, which was placedin a Schlenk flask. The opening of the flask was cracked slightlyto vacuum (just enough to see a pressure change on the Schlenkline) and left for 12 h. It was then opened slightly more and leftfor 12 h. It was then opened fully to vacuum and left for 24 h atroom temperature. The sample was backfilled and stored undernitrogen. The BET surface area of the sample was measured tobe 3,875 m2/g.",Paragraph_2_compound_name,MOF-177: Zn4O(C27H15O6)2
"Paragraph_2_compound_name:MOF-199: Cu2(C9H3O6)4/3. Trimesic acid (5.00 g, 2.38 × 10-2 mol)and Cu(NO3)2·2.5H2O (10.01 g, 4.457 × 10-2 mol) were dis solved in 85 ml of dimethylformamide in a 400-ml jar bysonication. Eighty-five milliliters of ethanol was added, followedby sonication. Eighty-five milliliters of water was added, followedby sonication. The jar was capped tightly and placed in an 85°C oven for 24 h. Sky-blue powdered product was filtered, washedwith dimethylformamide and ethanol, and immersed in dichlo romethane, which was decanted and replaced with fresh dichlo romethane three times over 4 days. Product was evacuated todryness and heated under vacuum to 170°C until color was deeppurple ( 2 days). The sample was backfilled and stored undernitrogen. The BET surface area of the sample was measured tobe 1,264 m2/g.",Paragraph_2_compound_name,MOF-199: Cu2(C9H3O6)4/3
"Paragraph_2_compound_name:IRMOF-62: Zn4O(C18H8O4)3. Diacetylene-1,4-bis-(4-benzoic acid)(20.28 g, 6.986 × 10-2 mol) and Zn(CH3CO2)2·2H2O (30.35 g, 1.383 × 10-1 mol) were stirred in 1.5 L of dimethylformamide at room temperature for 10 h. Off-white powdered product wasfiltered, washed with dimethylformamide and dichloromethane,and immersed in dichloromethane. The product was filtered,washed with dichloromethane, and immersed in dichlorometh ane daily for 3 days. The product was evacuated at roomtemperature for 18 h and then at 150°C for 27 h. The sample wasbackfilled and stored under nitrogen. The BET surface area ofthe sample was measured to be 1,814 m2/g.",Paragraph_2_compound_name,IRMOF-62: Zn4O(C18H8O4)3
"Paragraph_2_compound_name:Synthesis of ZIF-95. A solid mixture of zinc(II) nitrate tetrahydrate (Zn(NO3)2·4H2O, 1.044 g, 4.0 mmol) and cbIM (C7H5N2Cl, 6.106 g, 40.0 mmol) was dissolved in 295 ml DMF and 5 ml H2O in a 500 ml container. The container was capped and heated at 120 °C for 72 h to give light yellow plate crystals. The reaction mixture was allowed to cool gradually to room temper ature and crystals were washed with DMF and dried in air (yield: 1.103 g, 75% based on Zn(NO3)2·4H2O). Elemental microanalysis for Zn(cbIM)2 ; C14H8N4Cl2Zn1, calculated based on framework only (%): C, 45.63; H, 2.19; N, 15.20; Cl, 19.24; Zn, 17.74. Found (%): C, 46.06; H, 2.40; N, 14.38; Cl, 19.13; Zn, 18.17. FT-IR (KBr, 4,000–400 cm21 ): 3,426(br), 3,080(w), 2,935(w), 2,860(w), 1,671(vs), 1,612(m), 1,566(w), 1,475(vs), 1,393(m), 1,347(s), 1,291(s), 1,261(m), 1,240(m), 1,194(m), 1,130(w), 1,104(m), 1,067(m), 1,011(w), 930(m), 853(m), 807(s), 726(m), 655(m), 599(m), 488(m), 431(m).",Paragraph_2_compound_name,ZIF-95
"Paragraph_2_compound_name:Synthesis of ZIF-100. Under a dry nitrogen atmosphere a solid mixture of zinc(II) trifluoromethanesulphonate (Zn(O3SCF3)2, 1.453 g, 4.0 mmol) and cbIM (6.103 g, 40.0 mmol) was dissolved in anhydrous DMF (270 ml) in a 500 ml container. Subsequently, H2O (5.8 ml) was added, the container capped and heated in an isothermal oven at 120 °C for 48 h to give dark yellow cubic crystals. The reaction mixture was allowed to cool naturally to room temperature and the crystals were washed with DMF and dried in air. Yield: 1.012 g, 70.5% based on Zn(O3SCF3)2. Elemental microanalysis for Zn20(cbIM)39(OH) ; C273H157N78O1Cl39Zn20, calculated based on framework only (%): C, 45.31; H, 2.19; N, 15.10; Cl, 19.11; Zn, 18.07. Found (%): C, 45.11; H, 2.18; N, 14.79; Cl, 19.19; Zn, 18.93. FT-IR (KBr, 4,000–400 cm21 ): 3,430(br), 3,080(m), 2,931(m), 2,860(w), 1,668(vs), 1,612(s), 1,576(m), 1,573(w), 1,475(vs), 1,437(m), 1,415(w), 1,342(s), 1,286(s), 1,256(m), 1,240(s), 1,195(s), 1,134(m),",Paragraph_2_compound_name,ZIF-100
"Paragraph_2_compound_name:1.1 Al-PMOF 1 Al2(OH)2(H2Porph)(guests)100 mg (0.126 mmol) of 5,10,15,20-tetrakis(4-carboxyphenyl) porphyrin and 60 mg ( 0.25 mmol) of AlCl3·6H2O were introduced into 10 mL of deionised water. The suspension was stirred for 10 minutes at room temperature and then introduced into a 40 mL Teflon lined autoclave and heated at 180°C for 16 hours. The solution was allowed to cool with a cooling rate 1.5°C per minute. The solid was recovered by centrifugation, washed 3 times with DMF (3 × 80 mL) and once with acetone (1 × 80 mL) in order to remove the unreacted porphyrin. After drying, the MOF was obtained as a red solid in a 42% yield (50 mg of solid). As synthesized formula [AlOH]2(DMF3(H2O)2 calc: C 60.78 %, H 4.71% N 8.70% exp: C 60.79% H 4.71% N 8.39%.",Paragraph_2_compound_name,Al-PMOF 1 Al2(OH)2(H2Porph)(guests)
"Paragraph_2_compound_name:PCN-124: To a mixed solvent of dimethylacetamide (DMA, 12 mL) and water (3 mL) in a 20 mL scintillation vial was added H4PDAI (40 mg, 0.081 mmol), Cu(NO3)2·2.5H2O (120 mg, 0.016 mmol), and HBF4 (48% in water, 30 drops). The vial was capped and allowed to sit in a 75 °C oven for 2 days. Green block crystals of PCN-124 were collected (41 mg, 80 % yield) by filtration. IR: 3053, 1546, 1369, 1284, 1112, 908, 773, 734, 678, 601 cm-1. See Figure S7. Elemental analysis (% calc/found): C: 43.6/42.8 N: 6.6/5.0 H: 1.7/4.2. PXRD and TGA of PCN 124 are shown below.",Paragraph_2_compound_name,PCN-124
"Paragraph_2_compound_name:Synthetic Procedures: Table S2. Organic Ligands and synthesis procedures used for each materialMaterial UiO-66 UiO-66-NO2 UiO-66-NH2 UiO-66-1,4-Naph UiO-66-2,5-(OMe)2 Image O OHHO OO OHHO ON+O-ONH2O OHHO OO OHHO OOOO OHHO OChemical Name Terephthalic Acid 2-Nitro Terephthalic Acid 2-Amino Terephthalic Acid 1,4-Naphthalene Dicarboxylic Acid 2,5-Dimethoxy Terephthalic Acid Organic Linker 0.35 mmol 0.35 mmol 0.35 mmol 0.35 mmol 0.35 mmolZrCl4 0.35 mmol 0.35 mmol 0.368 mmol 0.35 mmol 0.35 mmolDMF 4 mL 4 mL 4 mL 4 mL 4 mLAcetic Acid 0 mL 0 mL 0 mL 0 mL 0.6 mLTemperature 120 °C 120 °C 120 °C 120 °C 110 °CTime 24 hr 24 hr 24 hr 24 hr 48 hr",Paragraph_2_compound_name,"UiO-66||UiO-66-NO2||UiO-66-NH2||UiO-66-1,4-Naph||UiO-66-2,5-(OMe)2"
"Paragraph_2_compound_name:Synthesis of UiO-67. ZrCl4 (24.5 mg, 0.105 mmol), glacial acetic acid (210 mg, 3.5 mmol), and H2bpydc (4,4’-biphenyl-dicarboxylic acid) (26 mg, 0.105 mmol) were placed in a scintillation vial with 4 mL dimethylformamide (DMF). The solids were dispersed via sonication for ~10 mins, followed by incubation at 120 °C for 24 h. After cooling, solids were collected by centrifugation at 6500 rpm for 15 min in a fixed angle rotor, and the solvent was decanted. The solids were washed with DMF (2 × 10 mL), followed by soaking in methanol (MeOH) for 3 d, and the solution was exchanged with fresh MeOH (10 mL) every 24 h. After 3 d of soaking, the solids were collected via centrifugation and dried under vacuum (yield: 35 mg, 94 % based on Zr).",Paragraph_2_compound_name,UiO-67
"Paragraph_2_compound_name:Synthesis of UiO-67-bpydc. ZrCl4 (24.5 mg, 0.105 mmol), glacial acetic acid (189 mg, 3.15 mmol), and H2bpydc (2,2’-bipyridine-5,5’-dicarboxylic acid) (26 mg, 0.105 mmol) were placed in a scintillation vial with 4 mL DMF. The solids were dispersed via sonication for ~10 mins, followed by incubation at 120 °C for 24 h. After cooling, solids were collected by centrifugation and the solvent was decanted. The solids were washed with DMF (2 × 10 mL), followed by soaking in methanol (MeOH) for 3 d, and the solution was exchanged with fresh MeOH (10 mL) every 24 h. After 3 d of soaking, the solids were collected via centrifugation and dried under vacuum (yield: 33 mg, 88 % based on Zr).Synthesis of UiO-67-bpydcx/bpdc1-x. Synthesis of mixed UiO-67-bpydcx/bpdc1-xwas synthesized with the same concentration (i.e. 0.105 mmol of ZrCl4 and 0.105 mmol of the total amount of organic ligands) and condition as UiO-67-bpydc, using an reactant solution with a molar ratio of x:(1-x):1:30 for H2bpydc/H2bpdc/ZrCl4/acetic acid in a scintillation vial with 4 mL DMF (Table S2). The solids were dispersed via sonication for ~10 mins, followed by incubation at 120 °C for 24 h. After cooling, solids were collected by centrifugation and the solvent was decanted. The solids were washed with DMF (2 × 10 mL), followed by soaking in MeOH for 3 d, and the solution was exchanged with freshC37 MeOH (10 mL) every 24 h. After 3 d of soaking, the solids were collected via centrifugation and dried under vacuum (yield: 35 mg, 94 % based on Zr)",Paragraph_2_compound_name,UiO-67-bpydc||UiO-67-bpydcx/bpdc1-x
"Paragraph_2_compound_name:Synthesis of Zrbtba 1. In a 40 mL clear glass Wheaton sample vial with a rubber-lined cap, anhydrous ZrCl4 (0.054 g, 0.23 mmol) and benzoic acid (2.400 g, 19.66 mmol) was dissolved in 12 mL of DMF using ultrasound bath for 30 min at 55 °C. The resulting solution was stored at room temperature for 15 minutes. To this clear solution btbaH4 (0.054 g, 0.070 mmol) was added and the resulting heterogeneous mixture was put in an ultrasound bath at room temperature for another 10 minutes. Finally, the vial was placed into an oven and heated with a ramp rate of 0.2 °C/minute to 120 °C for 96 hours followed by cooling to 25 °C at a rate of 0.5 °C / minute. Shiny cubic crystals of the compound 1 were found at the bottom and the walls of the vial at the end of the reaction. The product was isolated by filtration and cleaned with DMF (3× 30 mL). Yield: 0.100 g (19 %, based on btbaH4).",Paragraph_2_compound_name,Zrbtba 1
"Paragraph_2_compound_name:e) Synthesis of Zrptba 2. In a 40 mL clear glass Wheaton sample vial with a rubber lined cap, anhydrous ZrCl4 (0.036 g, 0.15 mmol) and (1.600 g, 13.11 mmol) benzoic acid was dissolved in 8 mL of below given solvent/solvent mixture using an ultrasound bath for 30 minutes at 55 °C. The resulting solution was stored at room temperature for 30 minutes. To this clear solution 0.028 g (0.034 mmol) of ptbaH4 was added and the resulting heterogeneous mixture was put in an ultrasound bath at room temperature for another 10 minutes. The vial was tightly capped and put into an oven and heated with a ramp rate of 0.2 °C/minute to 120 °C for 72 hours followed by cooling to 25 °C at a rate of 0.5 °C/minute. Shiny orange red crystals of the compound 2 were found at the bottom and the walls of the vial at the end of the reaction. The product was isolated by filtration and cleaned with DMF (3 × 20 mL). Finally, the solid was dried under vacuum. The above reaction was carried out for following different solvent combinations to synthesize high purity 2. The above reaction was carried out for the following given solvent/solvent mixtures to synthesize high purity 2i) 8 mL of DMF(only); yield: 40 mg; impure from SEM and XRD data (Figure S4).ii) 4 mL of NMP(only); yield:~1 mg; very low yield.iii) 1 mL of NMP and 7 mL of DMF; yield: 60 mg; impure from SEM and XRD data (Figure S5).iv) 2 mL of NMP and 6 mL of DMF; yield: 50 mg; impure from SEM and XRD data (Figure S6).v) The optimal solvent mixture is 3 mL of NMP and 5 mL of DMF; yield: 55 mg (22% based on ptbaH4).",Paragraph_2_compound_name,Zrptba 2
"Paragraph_2_compound_name:f) Synthesis of 3A. In a 40 mL clear glass Wheaton sample vial with a rubber lined cap, anhydrous ZrCl4 (0.036 g, 0.15 mmol) and 1.600 g (13.11 mmol) of benzoic acid was dissolved in 8 mL DMF using ultrasound bath for 30 minutes at 55 °C. The resulting solution was stored at room temperature for 30 minutes. To this clear solution a mixture of btbaH4 (0.0265 g, 0.036 mmol) and ptbaH4 (0.001 g, 0.002 mmol), was added and the resulting heterogeneous mixture was sonicated at RT for another 10 minutes. The reaction vial was placed in an oven and heated (0.2 °C / minute) at 120 °C for 72 hours followed by a cooling down to 25 °C at a rate of 0.5 °C /minute. Yellow crystals of the compound 3A were found at the bottom and walls of the vial at the end of the reaction. The product was isolated by filtration and cleaned with DMF (3 x 20 mL). Finally, the solid was dried under vacuum. Yield: 0.015 g (84 % based on ptbaH4; 6% based on btbaH4).",Paragraph_2_compound_name,3A
"Paragraph_2_compound_name:g) Synthesis of 3B. In a 40 mL clear glass Wheaton sample vial with a rubber lined cap, anhydrous ZrCl4 (0.036 g, 0.15 mmol) and 1.6 g (13.11 mmol) of benzoic acid was dissolved in a mixture of 7.5 mL of DMF and 0.5 mL of NMP using an ultrasound bath for 30 minutes at 55 °C. The resulting solution was stored at room temperature for 30 minutes. To this clear solution a mixture of btbaH4 (0.0175 g, 0.023 mmol) and ptbaH4 (0.0090 g, 0.011 mmol), was added and the resulting heterogeneous mixture was sonicated at RT for another 10 minutes. The reaction vial was placed in an oven and heated (0.2 °C/ minute) at 120 °C for 72 hours followed by a cooling down to 25 °C at a rate of 0.5 °C /minute. Yellow orange crystals of the compound 3B were found at the bottom and wall of the vial at the end of the reaction. The product was isolated by filtration and cleaned with DMF (3 x 20 mL). Finally, the solid was dried under vacuum. Yield: 0.048 g (58 % based on ptbaH4 29 % based on btbaH4)",Paragraph_2_compound_name,3B
"Paragraph_2_compound_name:h) Synthesis of 3C. In a 40 mL clear glass Wheaton sample vial with a rubber lined cap, anhydrous ZrCl4 (0.036 g, 0.15 mmol) and 1.6 g (13.11 mmol) of benzoic acid was dissolved in 8 mL of below given solvent/solvent mixture using an ultrasound bath for 30 minutes at 55 °C. The resulting solution was stored at room temperature for 30 minutes. To this clear solution a mixture of btbaH4 (0.010 g, 0.013 mmol) and ptbaH4 (0.018 g, 0.022 mmol) was added and the resulting heterogeneous mixture was sonicated at RT for another 10 minutes. The reaction vial was placed in an oven and heated (0.2 °C /minute) at 120 °C for 72 hours followed by cooling to 25 °C at a rate of 0.5 °C / minute. Orange crystals of the compound 3C were found at the bottom and walls of the vial at the end of the reaction. The product was isolated by filtration and cleaned with DMF (3 x 20 mL). Finally, the solid was dried under vacuum. The above reaction was carried out for the following solvents to synthesize high purity 3C.i) 8 mL of DMF (only), yield: 40 mg; impure from SEM and XRD data (Figure S7).ii) The optimal solvent mixture is 2 mL of NMP and 6 mL of DMF; yield: 0.050 g (58 % based on ptbaH4; 29% based on btbaH4)",Paragraph_2_compound_name,3C
