input,output,bio_label
This gave enol ether <Prod*13*Prod> in exceptionally high yield.,This gave enol ether <Prod*13*Prod> in <Yield*exceptionally high*Yield> yield.,"['O', 'O', 'O', 'O', 'B-Prod', 'O', 'B-Yield', 'I-Yield', 'O']"
Pivaloylation of the diol 10 gave a mixture of monopivaloates <Prod*12*Prod> and 13 ( 1 : 2 ) ( 100 % ).,<Reaction*Pivaloylation*Reaction> of the diol <Reactants*10*Reactants> gave a mixture of monopivaloates <Prod*12*Prod> and 13 ( 1 : 2 ) ( <Yield*100 %*Yield> ).,"['B-Reaction', 'O', 'O', 'O', 'B-Reactants', 'O', 'O', 'O', 'O', 'O', 'B-Prod', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Yield', 'I-Yield', 'O']"
Pivaloylation of the diol 10 gave a mixture of monopivaloates 12 and <Prod*13*Prod> ( 1 : 2 ) ( 100 % ).,<Reaction*Pivaloylation*Reaction> of the diol <Reactants*10*Reactants> gave a mixture of monopivaloates 12 and <Prod*13*Prod> ( 1 : 2 ) ( <Yield*100 %*Yield> ).,"['B-Reaction', 'O', 'O', 'O', 'B-Reactants', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Prod', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Yield', 'I-Yield', 'O']"
"Swern - Moffatt oxidation of the mixture of 12 and 13 gave <Prod*15*Prod> , along with a small amount of the isomer 14.","<Reaction*Swern - Moffatt oxidation*Reaction> of the mixture of <Reactants*12*Reactants> and <Reactants*13*Reactants> gave <Prod*15*Prod> , along with a small amount of the isomer 14.","['B-Reaction', 'I-Reaction', 'I-Reaction', 'I-Reaction', 'O', 'O', 'O', 'O', 'B-Reactants', 'O', 'B-Reactants', 'O', 'B-Prod', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Swern - Moffatt oxidation of the mixture of 12 and 13 gave 15 , along with a small amount of the isomer <Prod*14.*Prod>","<Reaction*Swern - Moffatt oxidation*Reaction> of the mixture of <Reactants*12*Reactants> and <Reactants*13*Reactants> gave 15 , along with a small amount of the isomer <Prod*14.*Prod>","['B-Reaction', 'I-Reaction', 'I-Reaction', 'I-Reaction', 'O', 'O', 'O', 'O', 'B-Reactants', 'O', 'B-Reactants', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Prod']"
"Reduction of 15 gave the inverted alcohol <Prod*16*Prod> ( 64 % overall from 12 / 13 ) , which was converted into its pen- tafluorophenol thiono ester derivative 17 ( 100 % ) and deoxygenated to give 18 ( loo % ).","<Reaction*Reduction*Reaction> of <Reactants*15*Reactants> gave the inverted alcohol <Prod*16*Prod> ( 64 % overall from 12 / 13 ) , which was converted into its pen- tafluorophenol thiono ester derivative 17 ( 100 % ) and deoxygenated to give 18 ( loo % ).","['B-Reaction', 'O', 'B-Reactants', 'O', 'O', 'O', 'O', 'B-Prod', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Reduction of 15 gave the inverted alcohol 16 ( 64 % overall from 12 / 13 ) , which was converted into its pen- tafluorophenol thiono ester derivative <Prod*17*Prod> ( 100 % ) and deoxygenated to give 18 ( loo % ).","Reduction of 15 gave the inverted alcohol <Reactants*16*Reactants> ( 64 % overall from 12 / 13 ) , which was converted into its pen- tafluorophenol thiono ester derivative <Prod*17*Prod> ( <Yield*100 %*Yield> ) and deoxygenated to give 18 ( loo % ).","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Reactants', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Prod', 'O', 'B-Yield', 'I-Yield', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Reduction of 15 gave the inverted alcohol 16 ( 64 % overall from 12 / 13 ) , which was converted into its pen- tafluorophenol thiono ester derivative 17 ( 100 % ) and deoxygenated to give <Prod*18*Prod> ( loo % ).","Reduction of 15 gave the inverted alcohol 16 ( 64 % overall from 12 / 13 ) , which was converted into its pen- tafluorophenol thiono ester derivative <Reactants*17*Reactants> ( 100 % ) and <Reaction*deoxygenated*Reaction> to give <Prod*18*Prod> ( <Yield*loo %*Yield> ).","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Reactants', 'O', 'O', 'O', 'O', 'O', 'B-Reaction', 'O', 'O', 'B-Prod', 'O', 'B-Yield', 'I-Yield', 'O']"
"Zemplén de-O-acylation of 5α gave tetraol 6 in virtually quantitative yield , and subsequent isopropylidenation ( 2,2- dimethoxypropane and camphorsulfonic acid in DMF at 45 ° C ) gave selectively the <Prod*3II,4II-O-isopropylidene derivative*Prod> 7.","Zemplén de-O-acylation of 5α gave tetraol <Reactants*6*Reactants> in virtually quantitative yield , and subsequent <Reaction*isopropylidenation*Reaction> ( <Reactants*2,2- dimethoxypropane*Reactants> and <Reactants*camphorsulfonic acid*Reactants> in <Solvent*DMF*Solvent> at <Temperature*45 ° C*Temperature> ) gave selectively the <Prod*3II,4II-O-isopropylidene derivative*Prod> 7.","['O', 'O', 'O', 'O', 'O', 'O', 'B-Reactants', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Reaction', 'O', 'B-Reactants', 'I-Reactants', 'O', 'B-Reactants', 'I-Reactants', 'O', 'B-Solvent', 'O', 'B-Temperature', 'I-Temperature', 'I-Temperature', 'O', 'O', 'O', 'O', 'B-Prod', 'I-Prod', 'O']"
"Zemplén de-O-acylation of 5α gave tetraol 6 in virtually quantitative yield , and subsequent isopropylidenation ( 2,2- dimethoxypropane and camphorsulfonic acid in DMF at 45 ° C ) gave selectively the 3II,4II-O-isopropylidene derivative <Prod*7.*Prod>","Zemplén de-O-acylation of 5α gave tetraol <Reactants*6*Reactants> in virtually quantitative yield , and subsequent <Reaction*isopropylidenation*Reaction> ( <Reactants*2,2- dimethoxypropane*Reactants> and <Reactants*camphorsulfonic acid*Reactants> in <Solvent*DMF*Solvent> at <Temperature*45 ° C*Temperature> ) gave selectively the 3II,4II-O-isopropylidene derivative <Prod*7.*Prod>","['O', 'O', 'O', 'O', 'O', 'O', 'B-Reactants', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Reaction', 'O', 'B-Reactants', 'I-Reactants', 'O', 'B-Reactants', 'I-Reactants', 'O', 'B-Solvent', 'O', 'B-Temperature', 'I-Temperature', 'I-Temperature', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Prod']"
The N-monosubstituted β- ketothioamide 1q can also be transformed to the corresponding product <Prod*3qa*Prod> in lower yield when KOAc was added.,The <Reactants*N-monosubstituted β- ketothioamide*Reactants> <Reactants*1q*Reactants> can also be transformed to the corresponding product <Prod*3qa*Prod> in <Yield*lower*Yield> yield when <Reactants*KOAc*Reactants> was added.,"['O', 'B-Reactants', 'I-Reactants', 'I-Reactants', 'B-Reactants', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Prod', 'O', 'B-Yield', 'O', 'O', 'B-Reactants', 'O', 'O']"
"Robson prepared and struc- turally characterized a <Prod*[Cu12(tapp)8]*Prod> cubelike cage , which was derived from the self - assembly reaction of tri-bidentate ligand 2,4,6-triazophenyl-1,3,5-trihydroxybenzene ( H3tapp ) and copper(II) ions.14 Stang presented NMR and MS evidence for cuboctahedral and dodecahedral cations from tridentate and bidentate subunits.15 Fujita obtained a trigonal - bipyramidal capsule with 36+ by reaction of [Pd(NO3)2(en)] with 1,3,5-tris(3,5-","Robson prepared and struc- turally characterized a <Prod*[Cu12(tapp)8]*Prod> cubelike cage , which was derived from the <Reaction*self - assembly*Reaction> reaction of tri-bidentate ligand <Reactants*2,4,6-triazophenyl-1,3,5-trihydroxybenzene*Reactants> ( <Reactants*H3tapp*Reactants> ) and <Reactants*copper(II) ions.14*Reactants> Stang presented NMR and MS evidence for cuboctahedral and dodecahedral cations from tridentate and bidentate subunits.15 Fujita obtained a trigonal - bipyramidal capsule with 36+ by reaction of [Pd(NO3)2(en)] with 1,3,5-tris(3,5-","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Prod', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Reaction', 'I-Reaction', 'I-Reaction', 'O', 'O', 'O', 'O', 'B-Reactants', 'O', 'B-Reactants', 'O', 'O', 'B-Reactants', 'I-Reactants', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"The starting <Prod*2-bromo-3-methoxycyclohex-2-en-1-one*Prod> ( 1 ) is easily prepared by bromination12 ( NBS , 91 % yield ) of 3- methoxy-5-methylcyclohex-2-en-1-one , itself available by the classical procedure of Michael addition of ethyl acetoacetate to methyl crotonate in the presence of EtONa ( 54 % ) , followed by heating with acid at pH 113 and O - methylation with (MeO)3CH ( 91 % ).","The starting <Prod*2-bromo-3-methoxycyclohex-2-en-1-one*Prod> ( 1 ) is easily prepared by <Reaction*bromination12*Reaction> ( <Catalyst_Reagents*NBS*Catalyst_Reagents> , <Yield*91 %*Yield> yield ) of <Reactants*3- methoxy-5-methylcyclohex-2-en-1-one*Reactants> , itself available by the classical procedure of Michael addition of ethyl acetoacetate to methyl crotonate in the presence of EtONa ( 54 % ) , followed by heating with acid at pH 113 and O - methylation with (MeO)3CH ( 91 % ).","['O', 'O', 'B-Prod', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Reaction', 'O', 'B-Catalyst_Reagents', 'O', 'B-Yield', 'I-Yield', 'O', 'O', 'O', 'B-Reactants', 'I-Reactants', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"The starting 2-bromo-3-methoxycyclohex-2-en-1-one ( <Prod*1*Prod> ) is easily prepared by bromination12 ( NBS , 91 % yield ) of 3- methoxy-5-methylcyclohex-2-en-1-one , itself available by the classical procedure of Michael addition of ethyl acetoacetate to methyl crotonate in the presence of EtONa ( 54 % ) , followed by heating with acid at pH 113 and O - methylation with (MeO)3CH ( 91 % ).","The starting 2-bromo-3-methoxycyclohex-2-en-1-one ( <Prod*1*Prod> ) is easily prepared by <Reaction*bromination12*Reaction> ( <Catalyst_Reagents*NBS*Catalyst_Reagents> , <Yield*91 %*Yield> yield ) of <Reactants*3- methoxy-5-methylcyclohex-2-en-1-one*Reactants> , itself available by the classical procedure of Michael addition of ethyl acetoacetate to methyl crotonate in the presence of EtONa ( 54 % ) , followed by heating with acid at pH 113 and O - methylation with (MeO)3CH ( 91 % ).","['O', 'O', 'O', 'O', 'B-Prod', 'O', 'O', 'O', 'O', 'O', 'B-Reaction', 'O', 'B-Catalyst_Reagents', 'O', 'B-Yield', 'I-Yield', 'O', 'O', 'O', 'B-Reactants', 'I-Reactants', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"In the accompanying paper , we describe the facile photo- cyclization of several a-(o-toly1)acetophenones to <Prod*2-indanols.'*Prod> The reaction proceeds by rapid triplet - state & hydrogen abstraction that generates 1,Sbiradical intermediates.","In the accompanying paper , we describe the <Reaction*facile photo- cyclization*Reaction> of several <Reactants*a-(o-toly1)acetophenones*Reactants> to <Prod*2-indanols.'*Prod> The reaction proceeds by rapid triplet - state & hydrogen abstraction that generates 1,Sbiradical intermediates.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Reaction', 'I-Reaction', 'I-Reaction', 'O', 'O', 'B-Reactants', 'O', 'B-Prod', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"This type of reactivity has already been reported.6 By using LiAlH4 as reducing agent , degradation of the reaction mixture was observed ( Table 1 , entry 3 ) , but treatment of compound 1 with 1.5 equiv of diisobutylaluminium hydride in THF at room temperature provided the desired imidazo[1,2-a]- imidazole derivative <Prod*2*Prod> in a good yield of 74 % ( Table 1 , entry 4 ) .","This type of reactivity has already been reported.6 By using LiAlH4 as <Reaction*reducing*Reaction> agent , degradation of the reaction mixture was observed ( Table 1 , entry 3 ) , but treatment of compound <Reactants*1*Reactants> with 1.5 equiv of <Reactants*diisobutylaluminium hydride*Reactants> in <Solvent*THF*Solvent> at <Temperature*room*Temperature> temperature provided the desired imidazo[1,2-a]- imidazole derivative <Prod*2*Prod> in a good yield of <Yield*74 %*Yield> ( Table 1 , entry 4 ) .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Reaction', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Reactants', 'O', 'O', 'O', 'O', 'B-Reactants', 'I-Reactants', 'O', 'B-Solvent', 'O', 'B-Temperature', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Prod', 'O', 'O', 'O', 'O', 'O', 'B-Yield', 'I-Yield', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Instead , when this reaction was conducted in THF , the vinylcyclopropane-methoxyfuran system <Prod*4*Prod> was obtained in 32 % yield.","Instead , when this reaction was conducted in <Solvent*THF*Solvent> , the vinylcyclopropane-methoxyfuran system <Prod*4*Prod> was obtained in <Yield*32 %*Yield> yield.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Solvent', 'O', 'O', 'O', 'O', 'B-Prod', 'O', 'O', 'O', 'B-Yield', 'I-Yield', 'O']"
"Treatment of 1 with an excess of 2- bromo-2-propen-1-yltrimethylsilane (10)23 aﬀorded allylation product <Prod*11*Prod> , again with the loss of the Boc-protecting group ( Scheme 4 ).","Treatment of <Reactants*1*Reactants> with an excess of <Reactants*2- bromo-2-propen-1-yltrimethylsilane*Reactants> (10)23 aﬀorded <Reaction*allylation*Reaction> product <Prod*11*Prod> , again with the loss of the Boc-protecting group ( Scheme 4 ).","['O', 'O', 'B-Reactants', 'O', 'O', 'O', 'O', 'B-Reactants', 'I-Reactants', 'O', 'O', 'B-Reaction', 'O', 'B-Prod', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"24 In addition to 11 , bicyclic compound <Prod*12*Prod> was also isolated as a mixture of diastereomers.","24 In addition to 11 , bicyclic compound <Prod*12*Prod> was also isolated as a mixture of diastereomers.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Prod', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"For example , enantiomerically pure monotriflate (S)-2a was converted into methyl ester <Prod*(S)-5Io*Prod> and carboxylic acid (S)-6 "" in high yields by palladium - catalyzed carbonylationI2 ( Scheme 3 ).","For example , enantiomerically pure monotriflate <Reactants*(S)-2a*Reactants> was converted into methyl ester <Prod*(S)-5Io*Prod> and carboxylic acid (S)-6 "" in <Yield*high*Yield> yields by <Catalyst_Reagents*palladium*Catalyst_Reagents> - catalyzed <Reaction*carbonylationI2*Reaction> ( Scheme 3 ).","['O', 'O', 'O', 'O', 'O', 'O', 'B-Reactants', 'O', 'O', 'O', 'O', 'O', 'B-Prod', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Yield', 'O', 'O', 'B-Catalyst_Reagents', 'O', 'O', 'B-Reaction', 'O', 'O', 'O', 'O']"
"For example , enantiomerically pure monotriflate (S)-2a was converted into methyl ester (S)-5Io and carboxylic acid <Prod*(S)-6*Prod> "" in high yields by palladium - catalyzed carbonylationI2 ( Scheme 3 ).","For example , enantiomerically pure monotriflate <Reactants*(S)-2a*Reactants> was converted into methyl ester (S)-5Io and carboxylic acid <Prod*(S)-6*Prod> "" in <Yield*high*Yield> yields by <Catalyst_Reagents*palladium*Catalyst_Reagents> - catalyzed <Reaction*carbonylationI2*Reaction> ( Scheme 3 ).","['O', 'O', 'O', 'O', 'O', 'O', 'B-Reactants', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Prod', 'O', 'O', 'B-Yield', 'O', 'O', 'B-Catalyst_Reagents', 'O', 'O', 'B-Reaction', 'O', 'O', 'O', 'O']"
