input,output,bio_label
"As observed for the glycosylations of the 4-OH acceptor 7 , the use of equimolar proportions of the donor 6 and the acceptor 16 , in glycosylation reactions , led to the isolation of significant quantities of the glucal 9 and low yields of the disaccharides.","As observed for the glycosylations of the 4-OH acceptor 7 , the use of equimolar proportions of the donor 6 and the acceptor 16 , in glycosylation reactions , led to the isolation of significant quantities of the glucal <Prod*9*Prod> and low yields of the <Prod*disaccharides.*Prod>","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Prod', 'O', 'O', 'O', 'O', 'O', 'B-Prod']"
"However , the glycosylation of donor 6 with a 2-fold excess of the acceptor 16 in the presence of 2.5 equiv of triethylsilyl triflate as catalyst afforded predominantly the a-disaccharide 17 in 53 % yield and a minor amount of the corresponding / ? - isomer 18 ( 1.5 % , cd / ? = 36 / 1 ) ( Table 1 , entry 8 ).","However , the glycosylation of donor 6 with a 2-fold excess of the acceptor 16 in the presence of 2.5 equiv of triethylsilyl triflate as catalyst afforded predominantly the a-disaccharide 17 in 53 % yield and a minor amount of the corresponding / ? - isomer 18 ( 1.5 % , cd / ? = 36 / 1 ) ( Table 1 , entry 8 ).","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"The stereochemical integrity of compounds 17 and 18 was confirmed by observation of the ' J H ~ , , H ~ , coupling constants ( 4.8 and 11.0 Hz , respectively ) and the ' JcI,,HI , coupling constants ( 158 and 155 Hz , respectively ).","The stereochemical integrity of compounds 17 and 18 was confirmed by observation of the ' J H ~ , , H ~ , coupling constants ( 4.8 and 11.0 Hz , respectively ) and the ' JcI,,HI , coupling constants ( 158 and 155 Hz , respectively ).","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
The strategy for the synthesis of 4-seleno-5'-thiomaltoside 3 was similar to that of the 4-0- and the 4-S-5'-thiomaltopyra- noside.,The strategy for the synthesis of 4-seleno-5'-thiomaltoside 3 was similar to that of the 4-0- and the 4-S-5'-thiomaltopyra- noside.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
It necessitated the synthesis of the selectively protected 4-selenoglucopyranoside acceptor.,It necessitated the synthesis of the selectively protected 4-selenoglucopyranoside acceptor.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"The synthesis of this com- pound was performed by the initial displacement of the 4-0- trifluoromethanesulfonate of methyl 2,3,6-tri-O-benzoyl-a- ~ - galactopyranoside 19 by potassium ~ elenocyanate ' ~","The synthesis of this com- pound was performed by the initial displacement of the 4-0- trifluoromethanesulfonate of methyl 2,3,6-tri-O-benzoyl-a- ~ - galactopyranoside 19 by potassium ~ elenocyanate ' ~","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Electron Paramagnetic Resonance of a.,Electron Paramagnetic Resonance of a.,"['O', 'O', 'O', 'O', 'O']"
"Dithionite - reduced a exhibited relatively strong EPR features between g = 6 and 3 , and a weak gav = 1.94 - type signal ( g = 2.04 , 1.93 , 1.86 ) , quantifying to only 0.1 spida ( Figure 2A ).","Dithionite - reduced a exhibited relatively strong EPR features between g = 6 and 3 , and a weak gav = 1.94 - type signal ( g = 2.04 , 1.93 , 1.86 ) , quantifying to only 0.1 spida ( Figure 2A ).","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"The low - field features have shapes and g-values similar to , but not the same as , those from native enzyme ( Figure 2B ).","The low - field features have shapes and g-values similar to , but not the same as , those from native enzyme ( Figure 2B ).","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"These features suggest that the [ Fe4S4l1+ cluster in a has an S = % , S = l / 2 spin - state mixture.","These features suggest that the [ Fe4S4l1+ cluster in a has an S = % , S = l / 2 spin - state mixture.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
The best - characterized cluster exhibiting such a spin - state mixture is in the Fe protein of nitrogenase.,The best - characterized cluster exhibiting such a spin - state mixture is in the Fe protein of nitrogenase.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"At 10 "" C , 40 % of the nitrogenase Fe protein clusters are S = l / 2 and yield ga , = 1.94 EPR signals ; the remainder are S = 3 / 2 and yield features between g = 6 and 4.44,45 The proportion of each spin - state varies depending on the solvent.","At 10 "" C , 40 % of the nitrogenase Fe protein clusters are S = l / 2 and yield ga , = 1.94 EPR signals ; the remainder are S = 3 / 2 and yield features between g = 6 and 4.44,45 The proportion of each spin - state varies depending on the solvent.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
a-[Fe & ]'+,a-[Fe & ]'+,"['O', 'O', 'O']"
"( 1,3-bisdiphenylphosphinopropane ) was employed as a catalyst , rapid ( cid : 226 ) - hydride elimination is claimed to have followed the 2,1- insertion of styrene , affording mainly dimers but not polymers.2 Unlike other phosphorus ligands , (R,S)-BINAPHOS gave a copolymer of 4-tert-butylstyrene and CO , and thus , enantio- selective alternating copolymerization has been achieved.7,8 Here we reveal that exclusive 1,2-insertion is responsible for the styrene-CO copolymerization with Pd-(R,S)-BINAPHOS ( Scheme 1 , Figure 1 ).","( 1,3-bisdiphenylphosphinopropane ) was employed as a catalyst , rapid ( cid : 226 ) - hydride elimination is claimed to have followed the 2,1- insertion of styrene , affording mainly dimers but not polymers.2 Unlike other phosphorus ligands , (R,S)-BINAPHOS gave a copolymer of 4-tert-butylstyrene and CO , and thus , enantio- selective alternating copolymerization has been achieved.7,8 Here we reveal that exclusive 1,2-insertion is responsible for the styrene-CO copolymerization with Pd-(R,S)-BINAPHOS ( Scheme 1 , Figure 1 ).","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
This unique regioselectivity is suggested to explain why a regiocontrolled alternating copolymer was obtained with this particular phosphorus ligand.,This unique regioselectivity is suggested to explain why a regiocontrolled alternating copolymer was obtained with this particular phosphorus ligand.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"When 2,1- insertion takes place , rapid ( cid : 226 ) - hydride elimination occurs , as is","When 2,1- insertion takes place , rapid ( cid : 226 ) - hydride elimination occurs , as is","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Enantioselectivities for the two model anions are presented in Tables 1 and 2 and Figure 3.,Enantioselectivities for the two model anions are presented in Tables 1 and 2 and Figure 3.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"All of the receptors studied exhibit consistent preference for the (R)-Man , while the selectivities of the AcPhe enantiomers have a more complex distribution − alanine and phenylalanine receptors ( 1a − d,i − k ) bind L-AcPhe more strongly , while valine - based receptors ( 1e and 1g ) possess a reverse selectivity.","All of the receptors studied exhibit consistent preference for the (R)-Man , while the selectivities of the AcPhe enantiomers have a more complex distribution − alanine and phenylalanine receptors ( 1a − d,i − k ) bind L-AcPhe more strongly , while valine - based receptors ( 1e and 1g ) possess a reverse selectivity.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Several receptors ( 1b,c,g ) were found to be quite successful in chiral","Several receptors ( 1b,c,g ) were found to be quite successful in chiral","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Received July 11 , 1994 Revised Manuscript Received July 10 , 1995 Diels- Alder reactions involving heteroatoms have been given considerable attention in recent years not only because of their fundamental importance but also as to their role in synthesis.","Received July 11 , 1994 Revised Manuscript Received July 10 , 1995 Diels- Alder reactions involving heteroatoms have been given considerable attention in recent years not only because of their fundamental importance but also as to their role in synthesis.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
’ Of particular interest is the use of diatomic sulfur in such processes.,’ Of particular interest is the use of diatomic sulfur in such processes.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Since the first publication of a synthetically useful procedure to generate and transfer S2 by Steliou in 1984,2a there have been a number of reports of a diverse set of precursors to carry out this task with moderate success.2 The best isolated yields to date ( 60-85 % ) of adducts like 1 result from Steliou ’s elegant biphenyl dithione approach ( Scheme 1 ).","Since the first publication of a synthetically useful procedure to generate and transfer S2 by Steliou in 1984,2a there have been a number of reports of a diverse set of precursors to carry out this task with moderate success.2 The best isolated yields to date ( 60-85 % ) of adducts like 1 result from Steliou ’s elegant biphenyl dithione approach ( Scheme 1 ).","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2b,2b,['O']
is only marginally aﬀected by the change in amine between N-ph-B and N3-ph-B ( Table 1 ).,is only marginally aﬀected by the change in amine between N-ph-B and N3-ph-B ( Table 1 ).,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"However , when the acceptor moiety is equipped with two boron centers ( N3-ph-B2 ) , its reduction potential shifts to less negative values by about 0.2 V ( Figure 1c , Table","However , when the acceptor moiety is equipped with two boron centers ( N3-ph-B2 ) , its reduction potential shifts to less negative values by about 0.2 V ( Figure 1c , Table","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"As the amount of alkyl substitution on the a-aryl group in- creases , the quantum yield for cyclization decreases.","As the amount of alkyl substitution on the a-aryl group in- creases , the quantum yield for cyclization decreases.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Although quantum yields for most ketone reactions are dominated by bi- radical partitioning : , such is not the case here.","Although quantum yields for most ketone reactions are dominated by bi- radical partitioning : , such is not the case here.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Very little dis- proportionation back to ground - state ketone occurs , and enolization is a competing product - forming reaction only with 7.","Very little dis- proportionation back to ground - state ketone occurs , and enolization is a competing product - forming reaction only with 7.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Therefore , we conclude that another internal chemical reaction must partially quench the triplets of these ketones.","Therefore , we conclude that another internal chemical reaction must partially quench the triplets of these ketones.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
We believe that C T com- plexation is the most likely culprit.,We believe that C T com- plexation is the most likely culprit.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Internal C T quenching of n,r triplets by P-phenyl groups is known to be very rapid ( k = IO9 s-l)51 and appears to be rotationally controlled because of the favorable orbital overlap possible.52 Similar quenching by an a-aryl group is slower because of increased ring strain and poorer orbital overlap , a condition that can be offset by increased elec- tron - donating ability of the aryl group.","Internal C T quenching of n,r triplets by P-phenyl groups is known to be very rapid ( k = IO9 s-l)51 and appears to be rotationally controlled because of the favorable orbital overlap possible.52 Similar quenching by an a-aryl group is slower because of increased ring strain and poorer orbital overlap , a condition that can be offset by increased elec- tron - donating ability of the aryl group.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"We considered testing our system with p-methoxy substituents , but the experiment has","We considered testing our system with p-methoxy substituents , but the experiment has","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
■ RESULT AND DISCUSSION Retrosynthetic Analysis of Antroquinonol 1.,■ RESULT AND DISCUSSION Retrosynthetic Analysis of Antroquinonol 1.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Retro- synthetically , the enone system of (+)-antroquinonol ( 1 ) can be achieved through the selenylation and oxidation protocols of the corresponding ketone7b available from precursor 5 ( Scheme 1 ).","Retro- synthetically , the enone system of (+)-antroquinonol ( 1 ) can be achieved through the selenylation and oxidation protocols of the corresponding ketone7b available from precursor 5 ( Scheme 1 ).","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"A sesquiterpene side chain of 5 could , in turn , be synthesized using Suzuki − Miyaura cross-coupling between the corresponding vinyl iodide and boronate available from iodo 6.","A sesquiterpene side chain of 5 could , in turn , be synthesized using Suzuki − Miyaura cross-coupling between the corresponding vinyl iodide and boronate available from iodo 6.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
The syn conﬁguration between C4 and C5 could be generated through the 6-exo-digonal radical cyclization of a cyclic radical generated from 8 by the Barton − McCombie deoxygenation.8,The syn conﬁguration between C4 and C5 could be generated through the 6-exo-digonal radical cyclization of a cyclic radical generated from 8 by the Barton − McCombie deoxygenation.8,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"the nucleophile , achieving 71 % yield with only 35 % ee ( Table 3 , entry 10 ).","the nucleophile , achieving 71 % yield with only 35 % ee ( Table 3 , entry 10 ).","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"As the phenol with the strong electron- withdrawing acetyl group was used as the nucleophile , the corresponding product 2k was obtained in 54 % yield with 72 % ee ( Table 3 , entry 11 ).","As the phenol with the strong electron- withdrawing acetyl group was used as the nucleophile , the corresponding product 2k was obtained in 54 % yield with 72 % ee ( Table 3 , entry 11 ).","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"For biphenyl-4-ol and 2-naphthol , ring- opening products 2l and 2m were produced in dramatically diﬀerent yields ( 84 and 40 % , respectively ) and ee values ( 87 and 23 % ee , respectively ) ( Table 3 , entries 12 and 13 ).","For biphenyl-4-ol and 2-naphthol , ring- opening products <Prod*2l*Prod> and <Prod*2m*Prod> were produced in dramatically diﬀerent yields ( 84 and 40 % , respectively ) and ee values ( 87 and 23 % ee , respectively ) ( Table 3 , entries 12 and 13 ).","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Prod', 'O', 'B-Prod', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"For biphenyl-4-ol and 2-naphthol , ring- opening products 2l and 2m were produced in dramatically diﬀerent yields ( 84 and 40 % , respectively ) and ee values ( 87 and 23 % ee , respectively ) ( Table 3 , entries 12 and 13 ).","For biphenyl-4-ol and 2-naphthol , ring- opening products <Prod*2l*Prod> and <Prod*2m*Prod> were produced in dramatically diﬀerent yields ( 84 and 40 % , respectively ) and ee values ( 87 and 23 % ee , respectively ) ( Table 3 , entries 12 and 13 ).","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Prod', 'O', 'B-Prod', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"For biphenyl-4-ol and 2-naphthol , ring- opening products 2l and 2m were produced in dramatically diﬀerent yields ( 84 and 40 % , respectively ) and ee values ( 87 and 23 % ee , respectively ) ( Table 3 , entries 12 and 13 ).","For biphenyl-4-ol and 2-naphthol , ring- opening products <Prod*2l*Prod> and <Prod*2m*Prod> were produced in dramatically diﬀerent yields ( 84 and 40 % , respectively ) and ee values ( 87 and 23 % ee , respectively ) ( Table 3 , entries 12 and 13 ).","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Prod', 'O', 'B-Prod', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Phenols having disubstituted groups also showed good reactivity with moderate to good enantioselectivity ( Table 3 , entries 14 − 17 ).","Phenols having disubstituted groups also showed good reactivity with moderate to good enantioselectivity ( Table 3 , entries 14 − 17 ).","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"The reactions of 1a with phenols containing electron - donating multisubstituted groups gave the corresponding products 2n and 2p in good yields with moderate to good ee values ( Table 3 , entries 14 and 16 ) , while 2,4-dichlorophenol gave 42 % yield and 60 % ee ( Table 3 , entry 15 ).","The reactions of 1a with phenols containing electron - donating multisubstituted groups gave the corresponding products <Prod*2n*Prod> and <Prod*2p*Prod> in good yields with moderate to good ee values ( Table 3 , entries 14 and 16 ) , while 2,4-dichlorophenol gave 42 % yield and 60 % ee ( Table 3 , entry 15 ).","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Prod', 'O', 'B-Prod', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
