documentId,Paragraph,Compound
US08722629B2,"650 mg (0.94 mmol) of N-[(9H-fluoren-9-ylmethoxy)carbonyl]-N-methyl-L-valyl-N-[(3R,4S,5S)-1-tert-butoxy-3-methoxy-5-methyl-1-oxoheptan-4-yl]-N-methyl-L-valinamide (Intermediate 3) were taken up in 5 ml of dichloromethane, 5 ml of trifluoroacetic acid were added and the mixture was stirred at RT overnight. The mixture was then concentrated under reduced pressure, and the residue that remained was purified by preparative HPLC. This gave 430 mg (72% of theory) of the title compound as a colourless foam.","N-[(9H-fluoren-9-ylmethoxy)carbonyl]-N-methyl-L-valyl-N-[(3R,4S,5S)-1-tert-butoxy-3-methoxy-5-methyl-1-oxoheptan-4-yl]-N-methyl-L-valinamide | Intermediate 3 | dichloromethane | trifluoroacetic acid"
US04808625,"4-Phenanthrenemethanol (Aldrich, 29 g, 0.14 mol) was treated with pyridinium chlorochromate (PCC) (Aldrich, 45 g, 0.21 mol) in CH2Cl2 (2000 mL). After 6 h at RT, the reaction mixture was filtered through a plug of SiO2 to give after removal of solvent and drying and crystallization from CH3OH, 20.5 g (71%) of phenanthrene-4-carboxaldehyde mp 82.5°-84.5° (C, H).",4-Phenanthrenemethanol | pyridinium chlorochromate | CH2Cl2 | SiO2 | CH3OH | phenanthrene-4-carboxaldehyde
US06489351B1,"A fixture of ethyl 5-bromo-4,5,6,7-tetrahydro-3-methylthio-4-oxobenzo[c]furan-1-carboxylate (2.60 g), thiobenzamide (2.14 g) and ethanol (60 ml) was refluxed under heating for 5 hours, after which it was diluted with ethyl acetate-tetrahydrofuran (3:1, v/v, 400 ml), washed with water and dried (MgSO4), after which the solvent was distilled off to yield ethyl 4,5-dihydro-8-methylthio-2-phenylfuro[3,4-e]benzothiazole-6-carboxylate (1.67 g, 57.6%), which was then recrystallized from ethyl acetate-hexane. Colorless needles. Melting point 170-171° C.","ethyl 5-bromo-4,5,6,7-tetrahydro-3-methylthio-4-oxobenzo[c]furan-1-carboxylate | thiobenzamide | ethanol | ethyl acetate-tetrahydrofuran | water | MgSO4 | ethyl 4,5-dihydro-8-methylthio-2-phenylfuro[3,4-e]benzothiazole-6-carboxylate"
US07910595B2,"The product from Example 143 was reacted according to the procedure from Example 150 substituting the product from Example 143 for the product from Example 138 to provide a residue which was purified by trituration with methanol and diethyl ether to provide the title compound (26 mg, 55%). 1H NMR (300 MHz, DMSO-D6) δ ppm: 1.37 (d, J=6.99 Hz, 6H), 3.21-3.43 (m, 1H), 6.83 (s, 1H), 6.84 (d, J=8.82 Hz, 2H), 6.92 (d, J=8.09 Hz, 1H), 7.02 (d, J=8.09 Hz, 2H), 7.32 (d, J=8.46 Hz, 2H), 7.63 (d, J=8.09 Hz, 1H), 7.93 (dd, J=8.46, 1.84 Hz, 1H), 7.99 (s, 1H), 8.94 (s, 1H), 9.08 (d, J=8.46 Hz, 1H), 9.51 (s, 1H), 9.74 (s, 1H), 10.02 (s, 1H); MS (APCI) m/z 524 (M+H)+.",product | product | product | methanol | diethyl ether | title compound
US08816079B2,"Using N-{4-[4-(2,4-dimethylphenyl)piperazine-1-carbonyl]phenyl}methanesulfonamide (194 mg) described in Example 461 and methyl iodide (34 μL) and by the reaction and treatment in the same manner as in Example 36, the title compound (57 mg) was obtained.","N-{4-[4-(2,4-dimethylphenyl)piperazine-1-carbonyl]phenyl}methanesulfonamide | methyl iodide | title compound"
US06821967B2,Prepared analogously to Example 1c from benzylamine and 9-(4-bromo-butyl)-9H-fluorene-9-carboxylic acid chloride.,benzylamine | 9-(4-bromo-butyl)-9H-fluorene-9-carboxylic acid chloride
US06677316B2,"9-{(3aR,4R,6S,6aR)-6-[5-(tert-butyl)-1,3,4-oxadiazol-2-yl]-2,2-dimethyltetrahydrofuro[3,4-d][1,3]dioxol-4-yl}-N-(4-chloro-2-fluorophenyl)-9H-purin-6-amine (2.35 g) was dissolved in trifluoroacetic acid (20 ml) and water (2 ml) with ice bath cooling, and the mixture allowed to stand at 4° C. for 17 h. The mixture was poured slowly into ice cold saturated aqueous sodium bicarbonate (400 ml) and extracted with ethyl acetate (3×200 ml). The organic layers were washed with brine, dried (MgSO4) and evaporated in vacuo to give the title compound as a buff solid (2.30 g).","9-{(3aR,4R,6S,6aR)-6-[5-(tert-butyl)-1,3,4-oxadiazol-2-yl]-2,2-dimethyltetrahydrofuro[3,4-d][1,3]dioxol-4-yl}-N-(4-chloro-2-fluorophenyl)-9H-purin-6-amine | trifluoroacetic acid | water | ice | ice | ethyl acetate | brine | MgSO4 | title compound | solid"
US20050054662A1,"Dimethyl sulphate (11.76 ml) was added dropwise to a mixture of potassium carbonate (37.8 g) and 2-amino4,6-difluorobenzoic acid (reference example 3) (21.56 g) in DMF (500 ml) at 0° C. The reaction was stirred for 1 hour, then poured into water. The resulting precipitate was filtered, washed with water and dried in vacuo to give the title compound as a beige solid (9.39 g, 40%). The filtrate was extracted with ethyl acetate, and combined organic extracts dried and concentrated in vacuo to yield more of the title compound as a yellow crystalline solid (6.57 g, 28%); NMR spectrum ([)MSO-d6) 3.78 (s, 3H), 6.25 (m, 1H), 6.38 (m, 1H), 6.90 (bs, 2H).","Dimethyl sulphate | potassium carbonate | 2-amino4,6-difluorobenzoic acid | DMF | water | water | title compound"
US07115767B2,"To a DMF solution (30 mL) of 8-methoxy-1,2,3,4-tetrahydro-naphthalene-2-carboxylic acid (5.0 g, 24 mmol) was added MeI (7.1 g, 50 mmol) and K2CO3 (6.9 g, 50 mmol). The mixture was allowed to stir overnight and ethyl acetate (200 mL) was added. The resulting solution was washed with water (3×50 mL) and brine (50 mL) to provide 8-methoxy-1,2,3,4-tetrahydro-naphthalene-2-carboxylic acid methyl ester (6.6 g).","DMF | 8-methoxy-1,2,3,4-tetrahydro-naphthalene-2-carboxylic acid | MeI | K2CO3 | ethyl acetate | water | brine | 8-methoxy-1,2,3,4-tetrahydro-naphthalene-2-carboxylic acid methyl ester"
US20110009389A1,"A 40% solution of hydrogen chloride in ethanol (2.0 mL) was added to a solution of tert-butyl 4-[5-[([(cyclohexylamino)carbonyl]oxy]methyl)-3-oxo-1H-imidazo[1,5-c]imidazol-2(3H)-yl]piperidine-1-carboxylate (0.28 g) obtained in Example 174b) in ethanol (2.0 mL), and the mixture was stirred at room temperature for 30 minutes. The solvent was distilled off under reduced pressure to obtain the title compound (0.26 g, quantitative) as a colorless solid.","hydrogen chloride | ethanol | tert-butyl 4-[5-[([(cyclohexylamino)carbonyl]oxy]methyl)-3-oxo-1H-imidazo[1,5-c]imidazol-2(3H)-yl]piperidine-1-carboxylate | ethanol | title compound"
US06951876B2,"To a stirred solution of 4,4,4-trifluoro-1-(4-bromophenyl)butane-1,3-dione (1 g, 3.39 mmol, J. Med. Chem., 1997, 40, 1347) in DME (40 mL) was added furan-2-boronic acid (0.455 g, 4.07 mmol), bis(triphenylphosphine) palladium(II)chloride (0.271 g, 0.386 mmol) and saturated NaHCO3 solution (12 mL) at room temperature under nitrogen. The mixture was heated at reflux temperature for 5 hours, and cooled down to room temperature. The reaction mixture was filtered through celite, the filtrate was poured into water and the whole was extracted with ethyl acetate (30 mL×3). The organic layer was washed with brine, dried over sodium sulfate, and concentrated in vacuo. The residue was purified by flash chromatography eluting with hexane/ethyl acetate (3/1) to give the subtitle compound (0.586 g, 61.2% yield).","4,4,4-trifluoro-1-(4-bromophenyl)butane-1,3-dione | DME | furan-2-boronic acid | bis(triphenylphosphine) palladium(II)chloride | NaHCO3 | nitrogen | water | ethyl acetate | brine | sodium sulfate | hexane/ethyl acetate | subtitle compound"
US20080009622A1,"To methyl-3-(4-fluorophenyl)-3-hydroxy-2-isobutyrylpropenoate (100 mg, 0.38 mmol) were added trimethyl orthoacetate (1.0 g, 8.33 mmol), magnesium sulfate (100 mg) and sulfuric acid (2 μl), and the mixture was heated to 140° C. and stirred for 1 hr. The reaction mixture was analyzed by HPLC under the same conditions as in Example 2 and confirmed to contain the title compound (60.1 mg, 0.21 mmol).",methyl-3-(4-fluorophenyl)-3-hydroxy-2-isobutyrylpropenoate | trimethyl orthoacetate | magnesium sulfate | sulfuric acid | title compound
US20110207704A1,"A 20 mL reaction vial was charged with (1R,2S)-2-(4-(3-(3-chloro-4-isopropoxyphenyl)-1,2,4-oxadiazol-5-yl)phenylamino)cyclopentanecarboxylic acid compound with (1S,2R)-2-(4-(3-(3-chloro-4-isopropoxyphenyl)-1,2,4-oxadiazol-5-yl)phenylamino) cyclopentanecarboxylic acid (1:1) (0.265 g, 0.300 mmol) in methanol (1.934 mL) to give a cloudy suspension. To the reaction mixture was added thionyl chloride (0.044 mL, 0.600 mmol) dropwise. The resulting solution was stirred at about 60° C. for about 15 hr. The mixture was cooled to about ambient temperature. The resulting white precipitate was filtered, rinsed with water (5 mL) and oven dried to provide (1R,2S)-methyl 2-(4-(3-(3-chloro-4-isopropoxyphenyl)-1,2,4-oxadiazol-5-yl)phenylamino)cyclopentanecarboxylate compound with (1S,2R)-methyl 2-(4-(3-(3-chloro-4-isopropoxyphenyl)-1,2,4-oxadiazol-5-yl)phenylamino)cyclopentanecarboxylate (1:1) (0.165 g, 0.181 mmol, 60.3% yield) as white solid. LC/MS (Table 1, Method a) Rt=3.11 min, m/z 456 (M+H)+.","(1R,2S)-2-(4-(3-(3-chloro-4-isopropoxyphenyl)-1,2,4-oxadiazol-5-yl)phenylamino)cyclopentanecarboxylic acid compound with (1S,2R)-2-(4-(3-(3-chloro-4-isopropoxyphenyl)-1,2,4-oxadiazol-5-yl)phenylamino) cyclopentanecarboxylic acid | methanol | thionyl chloride | water | (1R,2S)-methyl 2-(4-(3-(3-chloro-4-isopropoxyphenyl)-1,2,4-oxadiazol-5-yl)phenylamino)cyclopentanecarboxylate compound with (1S,2R)-methyl 2-(4-(3-(3-chloro-4-isopropoxyphenyl)-1,2,4-oxadiazol-5-yl)phenylamino)cyclopentanecarboxylate"
US20100061982A1,"1-Methyl-4-trichloromethoxycarbonyl-piperazin-1-ium chloride, from the above preparation, and (2Z)-2-({1-[3-(dimethylamino)propyl]-5-methoxy-1H-indol-3-yl}methylene)-4,6-dihydroxy-1-benzofuran-3(2H)-one (132 mg, 0.30 mmol, 1 eq.) were dissolved in pyridine (9 mL), and the mixture was stirred for 3 hours at 60° C. Solvent (methylene chloride, 30 mL) was added, then the organic layer was washed with 0.5 N NaHCO3 (3×25 mL), dried on Na2SO4 and evaporated. The crude mixture was triturated with Et2O, to afford the pure title compound. Yield: 77%. MS (m/z): 661.3 (MH+).","1-Methyl-4-trichloromethoxycarbonyl-piperazin-1-ium chloride | (2Z)-2-({1-[3-(dimethylamino)propyl]-5-methoxy-1H-indol-3-yl}methylene)-4,6-dihydroxy-1-benzofuran-3(2H)-one | pyridine | methylene chloride | NaHCO3 | Na2SO4 | crude mixture | Et2O | title compound"
US04623728,"The title compound was prepared by acylation of 1.0 g (5.2 mmole) of the (R)(-)-3-(3-methoxyphenyl)piperidine from preparation 7, Part C, with 1.3 g (7.8 mmole) of 3-phenylpropionyl chloride in toluene, followed by reduction with 910 mg (24 mmole) of lithium aluminum hydride in tetrahydrofuran, using the procedure of Preparation 3. This afforded 1.9 g of an oil.",title compound | (R)(-)-3-(3-methoxyphenyl)piperidine | 3-phenylpropionyl chloride | toluene | lithium aluminum hydride | tetrahydrofuran | oil
US04868331,"10 mmol of 5-(4-chlorobenzenesulphonylamino)-5,6,7,8-tetrahydro-naphth-2-yl-oxyacetamide are heated under reflux in 12 ml of 2N KOH and 40 ml of MeOH for 6 hours. The methanol is stripped off, 30 ml of 1N KOH are added and the mixture is extracted by shaking twice with CH2Cl2. The H2O phase is brough to pH 2 with concentrated HCl and the precipitates is filtered off and dried thoroughly.","5-(4-chlorobenzenesulphonylamino)-5,6,7,8-tetrahydro-naphth-2-yl-oxyacetamide | KOH | MeOH | methanol | KOH | CH2Cl2"
US08129391B2,"Ethyl 5-(4-methyl-1,4-diazepan-1-yl)thiophene-2-carboxylate (0.201 g, 0.75 mmol) and 5-[2-(3,5-dimethoxyphenyl)ethyl]-2H-pyrazol-3-amine (0.185 g, 0.75 mmol) in toluene (10 mL) were stirred at 20° C. and a 2M solution of trimethylaluminium in toluene (0.938 mL, 1.88 mmol) was added drop-wise. The reaction stirred under nitrogen at 60° C. for 18 h. The reaction mixture was cooled and quenched by pouring into methanol (50 ml), acidified with few drops of 2N hydrochloric acid. The crude product was purified by ion exchange chromatography, using a SCX column. The desired product was eluted from the column using 7M NH3/MeOH and fractions were evaporated to dryness to afford crude product. The crude product was purified by preparative HPLC, using decreasingly polar mixtures of water (containing 1% NH3) and MeCN as eluents. Fractions containing the desired compound were evaporated to dryness to afford the title compound (0.162 g, 46.0%) as a tan solid.","Ethyl 5-(4-methyl-1,4-diazepan-1-yl)thiophene-2-carboxylate | 5-[2-(3,5-dimethoxyphenyl)ethyl]-2H-pyrazol-3-amine | toluene | trimethylaluminium | toluene | nitrogen | methanol | crude product | desired product | crude product | crude product | desired compound | title compound"
US20080032972A1,"(4-{1-[5-chloro-2-(trifluoromethyl)benzyl]-1,2,3,4-tetrahydropyrido[2,3-b]pyrazin-7-yl}benzoic acid was reacted with 1-(2-methoxyphenyl)piperazine as in General Procedure 10 to give the title compound. LCMS: m/z=621.98 (M+H+); retention time=0.95 minutes.","4-{1-[5-chloro-2-(trifluoromethyl)benzyl]-1,2,3,4-tetrahydropyrido[2,3-b]pyrazin-7-yl}benzoic acid | 1-(2-methoxyphenyl)piperazine | title compound"
US08207172B2,"To ethanol (60 mL) were sequentially added 4-chloro-5,8-dihydro-6H-spiro[1-benzothieno[2,3-d]pyrimidine-7,2′-[1,3]dioxolane] (5.70 g, 20.2 mmol), 3-Chloro-4-(pyridin-2-ylmethoxyl)-phenylamine (4.78 g, 20.37 mmol), and HCl in ethanol (1N, 4 mL). The suspension was stirred with heating to 80° C., upon which time the contents turn brown and homogeneous. After 12 h, the dark orange-yellow heterogeneous mixture was removed from heating, and allowed to cool to rt. The contents were concentrated down to about 30 mL in volume and the precipitate was collected by filtration as a light-brown solid (10.1 g, 92%). 1H-NMR (DMSO-d6) δ 8.71 (d, 1H), 8.40 (s, 1H), 8.33 (s, 1H), 8.10 (td, 1H), 7.80 (d, 1H), 7.75 (d, 1H), 7.56 (m, 2H), 7.25 (d, 1H), 5.48 (br, 1H), 5.38 (s, 2H), 3.99 (s, 4H), 3.28 (t, 2H), 3.03 (s, 2H), 1.97 (t, 2H); LCMS RT=2.73 min; [M+H]+=481.1.","ethanol | 4-chloro-5,8-dihydro-6H-spiro[1-benzothieno[2,3-d]pyrimidine-7,2′-[1,3]dioxolane] | 3-Chloro-4-(pyridin-2-ylmethoxyl)-phenylamine | HCl | ethanol | solid"
US07473701B2,"N-(3-Cyano-1H-indazol-5-yl)-3-fluorobenzenesulfonamide can be obtained as described in Example 2 from 0.6 g of 5-amino-3-cyano-1H-indazole, 12 ml of pyridine and 0.73 g of 3-fluorobenzenesulfonyl chloride. 1 g of N-(3-cyano-1H-indazol-5-yl)-3-fluorobenzenesulfonamide is thus obtained in the form of a yellow solid melting at 227° C. (analysis C14H9FN4O2S % calculated C, 53.16; H, 2.87; F, 6.01; N, 17.71; O, 10.12; S, 10.14% found C, 52.86; H, 2.63; F, 5.67; N, 16.04).",5-amino-3-cyano-1H-indazole | pyridine | 3-fluorobenzenesulfonyl chloride | N-(3-cyano-1H-indazol-5-yl)-3-fluorobenzenesulfonamide | solid | C14H9FN4O2S
US04432981,"The above intermediate 2-(4-methoxyphenyl)-4-pyrimideneamine was prepared as follows: A slurry containing 81 g of 4-methoxybenzamidine hydrochloride, 24 g of sodium methoxide and 200 ml of methanol was stirred for 15 minutes, filtered and the filtrate concentrated in vacuo on a steam bath. To the residue was added β-ethoxyacrylonitrile (same as ethoxymethyleneacetonitrile) and the solution was heated at 100°-115° C. for 2 and 1/2 hours and poured into water. The solid was collected, washed with water, air-dried, and crystallized from ether-n-hexane to yield 85 g of 2-(4-methoxyphenyl)-4-pyrimidinamine, m.p. 102°-104° C.",2-(4-methoxyphenyl)-4-pyrimideneamine | 4-methoxybenzamidine hydrochloride | sodium methoxide | methanol | β-ethoxyacrylonitrile | water | water | ether-n-hexane | 2-(4-methoxyphenyl)-4-pyrimidinamine
US08143068B2,"3-Fluoro-6-methylphenylboronic acid pinacol ester (29a, 5.01 g, 21.2 mmol) and 140 ml CCl4 were placed in 500 ml round-bottom flask. NBS (3.97 g, 22.3 mmol, 1.05 eq) and AIBN (0.054 g, 0.33 mmol, 0.016 eq) were added and the reaction mixture was refluxed for 3.5 h in the presence of 75 W incandescent bulb. After 3.5 h the solution was cooled down to room temperature allowing the succinimide to precipitate out. The solid was filtered off. The solvent was removed and oily product was collected. Purification with column chromatography (95/5 Hexanes/Ethyl acetate) resulted in pure product (30a, 5.59 g, 84% yield).",3-Fluoro-6-methylphenylboronic acid pinacol ester | CCl4 | NBS | AIBN | succinimide | Hexanes/Ethyl acetate | 30a
US04459414,"2 g (6.08 millimols) of tetrachlorophthalic acid N-2-hydroxyethylimide, 5.30 g (30.4 millimols) of n-decanthiol, 6.30 g (45.6 millimols) of potassium carbonate and 20 ml of N,N-dimethylformamide are stirred at 25° C. for 7 hours. The mixture is acidified and extracted with methylene chloride. After recrystallisation from n-hexane at 0° C., 3.75 g (70% of theory) of the title compound are obtained; melting point 57°-8° C.","tetrachlorophthalic acid N-2-hydroxyethylimide | n-decanthiol | potassium carbonate | N,N-dimethylformamide | methylene chloride | n-hexane | title compound"
US08105748B2,"To 2.8 g (10 mmol) of the 2-methacryloyloxy-5-oxo-4-oxa-tricyclo[4.2.1.03,7]-non-9-ylcarbonyl chloride were added 4.2 g (10 mmol) of triphenylsulfonium 1,1-difluoro-2-hydroxy-ethanesulfonate in Synthesis Example 1-13 and 20 g of methylene chloride. To the mixture under ice cooling, a solution containing 1.0 g (10 mmol) of triethylamine and 0.25 g (2 mmol) of N,N-dimethylaminopyridine in 5 g of methylene chloride was added at a temperature below 5° C., and the resulting mixture was stirred for 2 hours at room temperature. Thereafter, 11 g of 5% dilute hydrochloric acid was added to the reaction mixture. The organic layer was taken out and washed with water, from which methylene chloride was distilled off in vacuum. 30 g of methyl isobutyl ketone was added to the residue, from which the residual water was distilled off in vacuum together with methyl isobutyl ketone. The resulting residue was purified by silica gel chromatography, obtaining the target compound, triphenylsulfonium 1,1-difluoro-2-(9-methacryloyloxy-4-oxo-5-oxatricyclo[4.2.1.03,7]-non-2-ylcarbonyloxy)-ethane-1-sulfonate. Colorless solids, 4.0 g (yield 61%). The compound has the following structure.","2-methacryloyloxy-5-oxo-4-oxa-tricyclo[4.2.1.03,7]-non-9-ylcarbonyl chloride | triphenylsulfonium 1,1-difluoro-2-hydroxy-ethanesulfonate | methylene chloride | ice | triethylamine | N,N-dimethylaminopyridine | methylene chloride | hydrochloric acid | water | methylene chloride | methyl isobutyl ketone | water | methyl isobutyl ketone | silica gel | triphenylsulfonium 1,1-difluoro-2-(9-methacryloyloxy-4-oxo-5-oxatricyclo[4.2.1.03,7]-non-2-ylcarbonyloxy)-ethane-1-sulfonate"
